line1,line2,line3,key,fein,unitid,institutionname
DaVId Anderson 0 00,X 0 0 0,Chairman 0 00,david,750859801,224527,East Texas Baptist University
Bruce E Barnes 0 00,X 0 0 0,Trustee 0 00,bruce,750859801,224527,East Texas Baptist University
DaVId ChadWIck 0 00,X 0 0 0,Trustee 0 00,david,750859801,224527,East Texas Baptist University
Mr Sergio A Ramos 0 00,X 0 0 0,Trustee 0 00,sergio,750859801,224527,East Texas Baptist University
Don Anthis 0 00,X 0 0 0,Trustee 0 00,don,750859801,224527,East Texas Baptist University
Dr Merilyn Sessmn 0 00,X 0 0 0,Trustee 0 00,merilyn,750859801,224527,East Texas Baptist University
Dan Darr 0 00,X 0 0 0,Trustee 0 00,dan,750859801,224527,East Texas Baptist University
Dan Cunningham 0 00,X 0 0 0,Trustee 0 00,dan,750859801,224527,East Texas Baptist University
Hal Cornish 0 00,X 0 0 0,Vice Chair 0 00,hal,750859801,224527,East Texas Baptist University
DM Edwards 0 00,X 0 0 0,Trustee 0 00,edwards,750859801,224527,East Texas Baptist University
Monty Pierce 0 00,X 0 0 0,Trustee 0 00,monty,750859801,224527,East Texas Baptist University
Mr DaVId Sherzer 0 00,X 0 0 0,Trustee 0 00,david,750859801,224527,East Texas Baptist University
Gwen Estill 0 00,X 0 0 0,Trustee 0 00,gwen,750859801,224527,East Texas Baptist University
Rev DaVId Rice 0 00,X 0 0 0,Trustee 0 00,david,750859801,224527,East Texas Baptist University
Ben Raimer 0 00,X 0 0 0,Trustee 0 00,ben,750859801,224527,East Texas Baptist University
Vic Schwartz Jr 0 00,X 0 0 0,Trustee 0 00,vic,750859801,224527,East Texas Baptist University
Gene Grammer 0 00,X 0 0 0,Trustee 0 00,gene,750859801,224527,East Texas Baptist University
James Thompson 0 00,X 0 0 0,Trustee 0 00,james,750859801,224527,East Texas Baptist University
Dr Cary Hilliard 0 00,X 0 0 0,Trustee 0 00,cary,750859801,224527,East Texas Baptist University
Jerry Hamilton 0 00,X 0 0 0,Trustee 0 00,jerry,750859801,224527,East Texas Baptist University
Susan Bush 0 00,X 0 0 0,Secretary 0 00,susan,750859801,224527,East Texas Baptist University
Mary Fitts 0 00,X 0 0 0,Trustee 0 00,mary,750859801,224527,East Texas Baptist University
F Wayne McWhorter 0 00,X 0 0 0,Trustee 0 00,wayne,750859801,224527,East Texas Baptist University
John D Scull 0 00,X 0 0 0,Trustee 0 00,john,750859801,224527,East Texas Baptist University
Dr BL Shaw 0 00,X 0 0 0,Trustee 0 00,shaw,750859801,224527,East Texas Baptist University
Patty Jones 0 00,X 0 0 0,Trustee 0 00,patty,750859801,224527,East Texas Baptist University
Mr Marcus L Hunt 0 00,X 0 0 0,Trustee 0 00,marcus,750859801,224527,East Texas Baptist University
Susan LiVingston 0 00,X 0 0 0,Trustee 0 00,susan,750859801,224527,East Texas Baptist University
Tom Lyles 0 00,X 0 0 0,Trustee 0 00,tom,750859801,224527,East Texas Baptist University
Bill Runnels 0 00,X 0 0 0,Trustee 0 00,bill,750859801,224527,East Texas Baptist University
Jimmie Sheffield 0 00,X 0 0 0,Trustee 0 00,jimmie,750859801,224527,East Texas Baptist University
Margaret Unkel 0 00,X 0 0 0,Trustee 0 00,margaret,750859801,224527,East Texas Baptist University
Rev DaVId Warren 0 00,X 0 0 0,Trustee 0 00,david,750859801,224527,East Texas Baptist University
Dr Don Woolley 0 00,X 0 0 0,Trustee 0 00,don,750859801,224527,East Texas Baptist University
Dr Lawrence Ressler 40 00,"x 71,363 0 5,900",Interim Pres 0 00,lawrence,750859801,224527,East Texas Baptist University
Catherine Crawford 40 00,"x 93,084 0 14,399",VP for Univ Adv 0 00,catherine,750859801,224527,East Texas Baptist University
Dr Samuel W Oliver 40 00,"X 235,203 0 19,134",Pre5ident 0 00,samuel,750859801,224527,East Texas Baptist University
Ned Calvert 40 00,"x 115,553 0 9,416",V P Admin & F 0 00,calvert,750859801,224527,East Texas Baptist University
