line1,line2,line3,key,fein,unitid,institutionname
John Moyer 0,X 0 0 0,Board Member 0,john,750891465,228468,Southwestern Adventist University
Steve Orian 0,X 0 0 0,Board Member 0,steve,750891465,228468,Southwestern Adventist University
Max TreVIno 0,X 0 0 0,Board Member,max,750891465,228468,Southwestern Adventist University
Arlene Tucker 0,X 0 0 0,Board Member 0,arlene,750891465,228468,Southwestern Adventist University
Dan Zacharias 0,X 0 0 0,Board Member 0,dan,750891465,228468,Southwestern Adventist University
Deryl Knutson 0,X 0 0 0,Board Member 0,knutson,750891465,228468,Southwestern Adventist University
Paul Chavez 0,X 0 0 0,Board Member 0,paul,750891465,228468,Southwestern Adventist University
Sam Green 0,X 0 0 0,Board Member 0,sam,750891465,228468,Southwestern Adventist University
Sheree Parris Nudd 0,X 0 0 0,Board Member 0,sheree,750891465,228468,Southwestern Adventist University
Ted Ramirez 0,X 0 0 0,Board Member 0,ted,750891465,228468,Southwestern Adventist University
Ruben Pechero 0,X 0 0 0,Board Member 0,ruben,750891465,228468,Southwestern Adventist University
Harold Collum 0,X 0 0 0,Board Member 0,harold,750891465,228468,Southwestern Adventist University
Donald Jernigan 0,X 0 0 0,Board Member 0,donald,750891465,228468,Southwestern Adventist University
Winston Stanley 0,X 0 0 0,Board Member 0,winston,750891465,228468,Southwestern Adventist University
Lee—Roy Chacon 0,X 0 0 0,Board Member 0,chacon,750891465,228468,Southwestern Adventist University
Edmund Fry 11 0,X 0 0 0,Board Member 0,edmund,750891465,228468,Southwestern Adventist University
Jung Wook Park 0,X 0 0 0,Board Member 0,jung,750891465,228468,Southwestern Adventist University
Randy Gilliam 0,X 0 0 0,Board Member 0,randy,750891465,228468,Southwestern Adventist University
Ken Finch 0,X 0 0 0,Board Member 0,ken,750891465,228468,Southwestern Adventist University
Sue Hayes 0,X 0 0 0,Board Member 0,sue,750891465,228468,Southwestern Adventist University
Wayne Williams 0,X 0 0 0,Board Member 0,wayne,750891465,228468,Southwestern Adventist University
Larry Moore 0,X 0 0 0,Chairman 0,larry,750891465,228468,Southwestern Adventist University
Renee Sensabaugh 0,X 0 0 0,Board Member 0,renee,750891465,228468,Southwestern Adventist University
Carlos Craig 0,X 0 0 0,Board Member 0,carlos,750891465,228468,Southwestern Adventist University
Buford Griffith 0,X 0 0 0,Board Member 0,buford,750891465,228468,Southwestern Adventist University
Jeff Bromme 0,X 0 0 0,Board Member 0,jeff,750891465,228468,Southwestern Adventist University
Ellie Hitt 0,X 0 0 0,Board Member 0,ellie,750891465,228468,Southwestern Adventist University
Kuk—Wha Lee 0,X 0 0 0,Board Member 0,lee,750891465,228468,Southwestern Adventist University
Robert Hosteter 0,X 0 0 0,Board Member 0,robert,750891465,228468,Southwestern Adventist University
Eric Shepperd 0,X 0 0 0,Board Member 0,eric,750891465,228468,Southwestern Adventist University
Eric Anderson 40,"X 96,585 0 0",PreSIdent 0,eric,750891465,228468,Southwestern Adventist University
Amy Rosenthal 40,"X 74,015 0 0",Academic Dean 0,amy,750891465,228468,Southwestern Adventist University
Larry Garrett 40,"X 73,923 0 0",FinanCIal Vice PreSIdent 0,larry,750891465,228468,Southwestern Adventist University
Joel Wallace 40,"X 38,591 0 0",FinanCIal Vice PreSIdent 0,joel,750891465,228468,Southwestern Adventist University
