line1,line2,line3,key,fein,unitid,institutionname
(1) Kent Denton 0,X 0 0 0,Trustee 0,kent,751786007,222628,Amberton University
(2) Donald Hicks 0,X 0 0 0,Trustee 0,donald,751786007,222628,Amberton University
(3) Wendell Stewart 0,X 0 0 0,Trustee 0,wendell,751786007,222628,Amberton University
(4) Richard Christian 0,X 0 0 0,Trustee 0,richard,751786007,222628,Amberton University
(5) Beverly Ritz 0,X 0 0 0,Trustee 0,beverly,751786007,222628,Amberton University
(6) Jo Schoonover 0,X 0 0 0,Trustee 0,jo,751786007,222628,Amberton University
(7) William George 0,X 0 0 0,Trustee 0,william,751786007,222628,Amberton University
(8) Melinda Reagan 40,"X 180,000 0 0",Presrdent 0,melinda,751786007,222628,Amberton University
(9) Brent Bradshaw 40,"X 112,000 0 0",Vice Presrdent for Administrative Servrces 0,brent,751786007,222628,Amberton University
(10) J0 Lynn Loyd 40,"X 125,000 0 0",Vice Presrdent for Strategic Servrces 0,lynn,751786007,222628,Amberton University
(11) Don Hebbard 40,"X 118,000 0 0",Professor 0,don,751786007,222628,Amberton University
