line1,line2,line3,key,fein,unitid,institutionname
(1) KEVIN P CLARK 1 00,X 0 0 0,DIRECTOR,kevin,810231777,180258,University of Great Falls
(2) TOM HIER 1 00,X 0 0 0,DIRECTOR,tom,810231777,180258,University of Great Falls
(3) ROBERT NOMMENSENII 1 00,X X 0 0 0,CHAIR,robert,810231777,180258,University of Great Falls
(4) TYLER LWILL MD 1 00,X 0 0 0,DIRECTOR,tyler,810231777,180258,University of Great Falls
(5) SCOTT WILSON 1 00,X 0 0 0,DIRECTOR,scott,810231777,180258,University of Great Falls
(6) BETH MCFADDEN 1 00,X 0 0 0,DIRECTOR,beth,810231777,180258,University of Great Falls
(7) BISHOP MICHAEL WARFEL 1 00,X 0 0 0,DIRECTOR,bishop,810231777,180258,University of Great Falls
(8) VINCENT PURPURA 1 00,X 0 0 0,DIRECTOR,vincent,810231777,180258,University of Great Falls
(9) DANIEL K SULLIVAN 1 00,X 0 0 0,DIRECTOR,daniel,810231777,180258,University of Great Falls
(10) BARBARA BYRNE 1 00,X 0 0 0,DIRECTOR,barbara,810231777,180258,University of Great Falls
(11) BENNETT CARTER 1 00,X 0 0 0,DIRECTOR,bennett,810231777,180258,University of Great Falls
(12) TIM LIGHTBOURNE 1 00,X 0 0 0,DIRECTOR,tim,810231777,180258,University of Great Falls
(13) JACK MUDD JD 1 00,X 0 0 0,DIRECTOR,jack,810231777,180258,University of Great Falls
(14) ROGER WITI' 1 00,X 0 0 0,DIRECTOR,roger,810231777,180258,University of Great Falls
(15) KATHY RICE 1 00,X 0 0 0,DIRECTOR,kathy,810231777,180258,University of Great Falls
(16) ARTHUR GEIGER 1 00,X 0 0 0,DIRECTOR,arthur,810231777,180258,University of Great Falls
(17) KRIS HOUTONEN 1 00,X 0 0 0,DIRECTOR,kris,810231777,180258,University of Great Falls
(18) LESLIE MARSH 1 00,X 0 0,DIRECTOR,leslie,810231777,180258,University of Great Falls
(19) DEBORAH KOTTEL 40 00,X 0 0,FACULTY REPRESENTATIVE,deborah,810231777,180258,University of Great Falls
(20) MARGARET EISEN 40 00,X 0 0,STUDENT REPRESENTATIVE,margaret,810231777,180258,University of Great Falls
(21) EUGENE MCALLISTER PHD 40 00,"x 165,000 4,950",UNIVERSITY PRESIDENT,eugene,810231777,180258,University of Great Falls
(22) STACEY EVE 40 00,"x 110,000 3,300",VP FINANCE & HR,stacey,810231777,180258,University of Great Falls
(23) TIMOTHY LAURENT 40 00,"x 125,000 3,750",VP ACADEMIC AFFAIRS/PROVOS,timothy,810231777,180258,University of Great Falls
(24) JULIE EDSTROM 40 00,"X 110,000 825",VP ENROLLMENT MGMT,julie,810231777,180258,University of Great Falls
"SYSCO FOOD SERVICES OF MONTANA PO BOX 31198 BILLINGS MT 59107 FOOD 256,867","ELITE SECURITY SERVICES LLC 3905 4TH ST NE GREAT FALLS MT 59404 SECURITY 207,155","1T1 SOURCE 4110 N SCOTTSDALE RD 300 SCOTTSDALE AZ 85251 SOFTWARE/HARDWARE 169,462",montana,810231777,180258,University of Great Falls
"ELITE SECURITY SERVICES LLC 3905 4TH ST NE GREAT FALLS MT 59404 SECURITY 207,155","1T1 SOURCE 4110 N SCOTTSDALE RD 300 SCOTTSDALE AZ 85251 SOFTWARE/HARDWARE 169,462","BIG SKY BUS LINES INC 2920 15TH ST BLACK EAGLE MT 59414 TRANSPORTATION 146,543",falls,810231777,180258,University of Great Falls
