line1,line2,line3,key,fein,unitid,institutionname
(1) Mark Amunrud 0 00,0 0 0,Vice Chairman 0 00,mark,810444020,262165,Montana Bible College
(2) JEFF MACPHERSON 0 00,0 0 0,Director 0 00,jeff,810444020,262165,Montana Bible College
(3) GRAHAME C NICOLSON 0 00,0 0 0,Director 0 00,nicolson,810444020,262165,Montana Bible College
(4) ARLEN TOFSLIE 0 00,0 0 0,Director 0 00,arlen,810444020,262165,Montana Bible College
(5) JAMY LANDIS 0 00,0 0 0,Director 0 00,landis,810444020,262165,Montana Bible College
(6) JEFF BOSCHMANN 0 00,0 0 0,Director 0 00,jeff,810444020,262165,Montana Bible College
(7) WILLIAM GRINDER 0 00,0 0 0,Chairman 0 00,william,810444020,262165,Montana Bible College
(8) TC RICHARDSON 0 00,0 0 0,Director 0 00,richardson,810444020,262165,Montana Bible College
(9) KEN FENNO 0 00,0 0 0,Treasurer 0 00,ken,810444020,262165,Montana Bible College
(10) JAMES H CARLSON 40 00,"X X 34,943 0 34,436",PreSident 0 00,james,810444020,262165,Montana Bible College
