line1,line2,line3,key,fein,unitid,institutionname
(1) GEOFFREY VANDEN HUEVEL 2 00,X X 0 0 0,Vice Chairman 0 00,geoffrey,830340684,455770,Providence Christian College
(2) REV DAVID CRUM 2 00,X 0 0 0,Trustee 0 00,david,830340684,455770,Providence Christian College
(3) JOHN JANSEN 2 00,X 0 0 0,Trustee 0 00,john,830340684,455770,Providence Christian College
(4) Doreane HUIzenga 2 00,X 0 0 0,Trustee 0 00,huizenga,830340684,455770,Providence Christian College
(5) DR LAWRENCE T MCHARGUE 2 00,X 0 0 0,Trustee 0 00,lawrence,830340684,455770,Providence Christian College
(6) Rev James Kim 2 00,X 0 0 0,Trustee 0 00,james,830340684,455770,Providence Christian College
(7) Rev Phil KrUIs 2 00,X 0 0 0,Trustee 0 00,phil,830340684,455770,Providence Christian College
(8) John Kortenhoeven 2 00,X 0 0 0,Trustee 0 00,john,830340684,455770,Providence Christian College
(9) MARILYN DEVRIES 2 00,X 0 0 0,Trustee 0 00,marilyn,830340684,455770,Providence Christian College
(10) Dr Arnold Sikkema 2 00,X 0 0 0,Trustee 0 00,arnold,830340684,455770,Providence Christian College
(11) JOHN THIESENS 2 00,X 0 0 0,Trustee 0 00,john,830340684,455770,Providence Christian College
(12) RON VERHOEVEN 2 00,X 0 0 0,Trustee 0 00,ron,830340684,455770,Providence Christian College
(13) FRANK BONS 2 00,X 0 0 0,Trustee 0 00,frank,830340684,455770,Providence Christian College
(14) BRAD BURKE 2 00,X X 0 0 0,Secretary 0 00,brad,830340684,455770,Providence Christian College
(15) PETE NANNINGA 2 00,X X 0 0 0,Chairman 0 00,pete,830340684,455770,Providence Christian College
(16) EARL OWENS 2 00,X 0 0 0,Trustee 0 00,earl,830340684,455770,Providence Christian College
(17) PAUL OTTO 2 00,X 0 0 0,Trustee 0 00,paul,830340684,455770,Providence Christian College
(18) MARV STRUIKSMA 2 00,X X 0 0 0,Treasurer 0 00,struiksma,830340684,455770,Providence Christian College
(19) DR DOMINIC AQUILA 40 00,"X 48,000 0 0",PreSIdent 0 00,dominic,830340684,455770,Providence Christian College
(20) Dawn Dirksen 40 00,"X 59,763 0 0",CFO 0 00,dawn,830340684,455770,Providence Christian College
