line1,line2,line3,key,fein,unitid,institutionname
JIll Tiefenthaler 40 0,"X X 515,402 0 111,339",PreSIdent 0 0,jill,840402510,126678,Colorado College
Eben S Moulton 1 0,X X 0 0,Chair,eben,840402510,126678,Colorado College
Philip A Swan 1 0,X X 0 0,Vice—Chair,philip,840402510,126678,Colorado College
Susan Burghart 1 0,X X 0 0,Secretary,susan,840402510,126678,Colorado College
Margaret S Allon 1 0,X 0 0,Trustee,margaret,840402510,126678,Colorado College
Neal A Baer 1 0,X 0 0,Trustee,neal,840402510,126678,Colorado College
Joel Begay 1 0,X 0 0,Trustee,joel,840402510,126678,Colorado College
William J Campbell 1 0,X 0 0,Trustee,william,840402510,126678,Colorado College
Heather L Carroll 1 0,X 0 0,Trustee,heather,840402510,126678,Colorado College
John P ChalIk 1 0,X 0 0,Trustee,john,840402510,126678,Colorado College
Lynne V Cheney 1 0,X 0 0,Trustee,lynne,840402510,126678,Colorado College
Angela Cobian 1 0,X 0 0,Trustee through 05/2014,angela,840402510,126678,Colorado College
Daniel J Cooper 1 0,X 0 0,Trustee,daniel,840402510,126678,Colorado College
Alan W Harris 1 0,X 0 0,Trustee,alan,840402510,126678,Colorado College
Amy 5 LOUIS 1 0,X 0 0,Trustee,amy,840402510,126678,Colorado College
Robert Manning 1 0,X 0 0,Trustee,robert,840402510,126678,Colorado College
Manuel L Martinez 1 0,X 0 0,Trustee,martinez,840402510,126678,Colorado College
Karen R Pope 1 0,X 0 0,Trustee,karen,840402510,126678,Colorado College
Adam F Press 1 0,X 0 0,Trustee,adam,840402510,126678,Colorado College
Jane L Rawlings 1 0,X 0 0,Trustee,jane,840402510,126678,Colorado College
Robert] Ross 1 0,X 0 0,Trustee,ross,840402510,126678,Colorado College
Christine Schluter 1 0,X 0 0,Trustee,christine,840402510,126678,Colorado College
Robert Selig 1 0,X 0 0,Trustee,robert,840402510,126678,Colorado College
DaVId van Diest Skilling 1 0,"x 5,000 0",Trustee/ Professor,david,840402510,126678,Colorado College
Michael B Slade 1 0,X 0 0,Trustee,michael,840402510,126678,Colorado College
Andy Stenovec 1 0,X 0 0,Trustee,andy,840402510,126678,Colorado College
Brian K Thomson 1 0,X 0 0,Trustee,brian,840402510,126678,Colorado College
Thayer R Tutt Jr 1 0,X 0 0,Trustee,thayer,840402510,126678,Colorado College
Colburn Wilbur 1 0,X 0 0,Trustee,colburn,840402510,126678,Colorado College
Brian E Williamson 1 0,X 0 0,Trustee,brian,840402510,126678,Colorado College
Jack P Wold 1 0,X 0 0,Trustee,jack,840402510,126678,Colorado College
Nancy Woodrow 1 0,X 0 0,Trustee,nancy,840402510,126678,Colorado College
Samantha Barlow 1 0,X 0 0,Trustee through 07/2013,samantha,840402510,126678,Colorado College
Robert Moore 40 0,"x 268,900 45,480",V P Finance & Admin,robert,840402510,126678,Colorado College
Sandra Wong 40 0,"x 230,984 29,114",Dean of the College,sandra,840402510,126678,Colorado College
Mike Edmonds 40 0,"x 170,718 41,769",V P Student Life,mike,840402510,126678,Colorado College
Sean PIerI 40 0,"x 335,488 46,745",V P for Advancement,sean,840402510,126678,Colorado College
Mark Hatch 40 0,"x 191,595 39,755",V P AdmISSIOnS,mark,840402510,126678,Colorado College
Jane Turnis 40 0,"x 133,281 44,573",Dir of Communications,jane,840402510,126678,Colorado College
DaVId Armstrong 40 0,"x 104,987 44,426",Interim Director of 1T,david,840402510,126678,Colorado College
Brian Young 40 0,"x 56,258 1,891",VP for 1T,brian,840402510,126678,Colorado College
Michael Siddoway 40 0,"x 157,141 8,368",Assoc Dean of Faculty,michael,840402510,126678,Colorado College
Mark HIlle 40 0,"x 151,020 15,623",Assoc VP for Advancement,mark,840402510,126678,Colorado College
Ken Ralph 40 0,"x 174,819 29,884",Director of Athletics,ken,840402510,126678,Colorado College
Scott Owens 40 0,"x 357,666 58,329",Head Hockey Coach,scott,840402510,126678,Colorado College
Head Hockey Coach,Timothy Fuller 40 0,"x 176,653 16,037",hockey,840402510,126678,Colorado College
Timothy Fuller 40 0,"x 176,653 16,037",Professor,timothy,840402510,126678,Colorado College
Walter Hecox 40 0,"x 173,752 17,414",Professor,walter,840402510,126678,Colorado College
Charlotte Mendoza 40 0,"x 170,843 13,350",Professor,charlotte,840402510,126678,Colorado College
Michael Grace 40 0,"x 168,026 14,914",Professor,michael,840402510,126678,Colorado College
