line1,line2,line3,key,fein,unitid,institutionname
(1) JOHN COBB 3 00,X 0 0 0,TRUSTEE,john,841029228,127653,Naropa University
(2) JERRY COLONNA 3 00,X X 0 0 0,CHAIRMAN,jerry,841029228,127653,Naropa University
(3) ANDREW DAVISON 3 00,X 0 0 0,TRUSTEE,andrew,841029228,127653,Naropa University
(4) GABRIELLE EDISON 3 00,X 0 0 0,TRUSTEE,gabrielle,841029228,127653,Naropa University
(5) MARGERY GOLDMAN 3 00,X 0 0 0,TRUSTEE,margery,841029228,127653,Naropa University
(6) THOMAS HAST 3 00,X X 0 0 0,TREASURER,thomas,841029228,127653,Naropa University
(7) CHRISTOPHER HORMEL 3 00,X 0 0 0,TRUSTEE,christopher,841029228,127653,Naropa University
(8) WILLIAM HULLEY 3 00,X 0 0 0,TRUSTEE,william,841029228,127653,Naropa University
(9) DIANE ISRAEL 3 00,X 0 0 0,TRUSTEE,diane,841029228,127653,Naropa University
(10) CAROLYN JACOBS 3 00,X 0 0 0,TRUSTEE,carolyn,841029228,127653,Naropa University
(11) MARTIN JANOWITZ 3 00,X 0 0 0,TRUSTEE,martin,841029228,127653,Naropa University
(12) LYNN KATZMAN 3 00,X X 0 0 0,SECRETARY,lynn,841029228,127653,Naropa University
(13) BRIAN KIMMEL 3 00,X 0 0 0,STUDENT TRUSTEE,brian,841029228,127653,Naropa University
(14) PAMELA KRASNEY 3 00,X 0 0 0,TRUSTEE,pamela,841029228,127653,Naropa University
(15) CHARLES LIEF 40 00,"X X 238,740 0 16,938",UNIVERSITY PRESIDENT,charles,841029228,127653,Naropa University
(16) ROSE MARCARIO 3 00,X 0 0 0,TRUSTEE,rose,841029228,127653,Naropa University
(17) TYLER NORRIS 3 00,X 0 0 0,TRUSTEE,tyler,841029228,127653,Naropa University
(18) DEB PIRANIAN 3 00,"x 53,754 8,164",FACULTY TRUSTEE,deb,841029228,127653,Naropa University
(19) JIM ROSEN 3 00,X 0 0,TRUSTEE,jim,841029228,127653,Naropa University
(20) VDAY SINGH 3 00,X 0 0,TRUSTEE,singh,841029228,127653,Naropa University
(21) VEN SAKYONG MIPHAM RINPOCHE 3 00,X 0 0,TRUSTEE AND LINEAGE HOLDER,ven,841029228,127653,Naropa University
TRUSTEE AND LINEAGE HOLDER,(22) JAN WILLIS 3 00,X 0 0,holder,841029228,127653,Naropa University
(22) JAN WILLIS 3 00,X 0 0,TRUSTEE,jan,841029228,127653,Naropa University
(23) TODD KILBURN 40 00,"x 118,882 17,562",VP BUSINESS AFFAIRS AND CFO,todd,841029228,127653,Naropa University
(24) CHERYL BARBOUR 40 00,VP STUDENT AFFAIRS AND ENROLLMENT X 115’518 21’545,MANAGEMENT,cheryl,841029228,127653,Naropa University
(25) CAROL BLACKSHIRE BELAY 40 00,"x 145,508 7,712",PROVOST AND VP FOR ACADEMIC AFFAIRS,carol,841029228,127653,Naropa University
