line1,line2,line3,key,fein,unitid,institutionname
CATES REBECCA 1 50,X 0 0,TRUSTEE,cates,910236600,235316,Gonzaga University
CLANCY SJ TIMOTHY 40 00,X 0 0,TRUSTEE,clancy,910236600,235316,Gonzaga University
KUDER SJ STEPHEN 40 00,X 0 0,TRUSTEE,kuder,910236600,235316,Gonzaga University
TOMLINSON ROBERT 1 50,X 0 0,TRUSTEE,tomlinson,910236600,235316,Gonzaga University
BARNARD TIMOTHY 1 50,X 0 0,TRUSTEE,barnard,910236600,235316,Gonzaga University
BRAJCICH PAUL 1 50,X 0 0,TRUSTEE,paul,910236600,235316,Gonzaga University
BROWN FRED 1 50,X 0 0,TRUSTEE,brown,910236600,235316,Gonzaga University
CRAVES GERI 1 50,X 0 0,TRUSTEE,geri,910236600,235316,Gonzaga University
CURRAN DONALD 1 50,X 0 0,TRUSTEE,curran,910236600,235316,Gonzaga University
FITZGIBBONS SJ JOHN 1 50,X 0 0,TRUSTEE,fitzgibbons,910236600,235316,Gonzaga University
GEE THERESA 1 50,X 0 0,TRUSTEE,gee,910236600,235316,Gonzaga University
GRAHAM SJ MICHAEL 1 50,X 0 0,TRUSTEE,graham,910236600,235316,Gonzaga University
GRETHER CARL 1 50,X 0 0,TRUSTEE,grether,910236600,235316,Gonzaga University
HEMMINGSON JOHN 1 50,X 0 0,TRUSTEE,john,910236600,235316,Gonzaga University
LEIGH SJ DAVID 1 50,X 0 0,TRUSTEE,leigh,910236600,235316,Gonzaga University
LIEBELT RITA 1 50,X 0 0,TRUSTEE,liebelt,910236600,235316,Gonzaga University
LUGER JOHN 1 50,X 0 0,TRUSTEE,luger,910236600,235316,Gonzaga University
MAGNUSON SHEPPARD KATHLEEN 1 50,X 0 0,TRUSTEE,magnuson,910236600,235316,Gonzaga University
MCCAMBRIDGE SHANNON 1 50,X 0 0,TRUSTEE,mccambridge,910236600,235316,Gonzaga University
MCCANN JOHN 1 50,X 0 0,TRUSTEE,mccann,910236600,235316,Gonzaga University
MCCARTHEY PHILIP 1 50,X 0 0,TRUSTEE,mccarthey,910236600,235316,Gonzaga University
MCGARRY SJ JOHN 1 50,X 0 0,TRUSTEE,mcgarry,910236600,235316,Gonzaga University
MCQUILKIN KEVIN 1 50,X 0 0,TRUSTEE,mcquilkin,910236600,235316,Gonzaga University
MORRIS SCOTT 1 50,X 0 0,"TRUSTEE, VICE—CHAIR",morris,910236600,235316,Gonzaga University
NELLES DONALD 1 50,X 0 0,TRUSTEE,nelles,910236600,235316,Gonzaga University
PATTERSON MICHAEL 1 50,X 0 0 0,TRUSTEE,patterson,910236600,235316,Gonzaga University
POWERS JIM 1 50,X 0 0 0,TRUSTEE,powers,910236600,235316,Gonzaga University
REESE SJ EDWARD 1 50,X 0 0 0,TRUSTEE,reese,910236600,235316,Gonzaga University
ROSSI SJ JOSEPH 1 50,X 0 0 0,TRUSTEE,rossi,910236600,235316,Gonzaga University
STANTON PETER 1 50,X 0 0 0,TRUSTEE,stanton,910236600,235316,Gonzaga University
TAYLOR EDWARD 1 50,X 0 0 0,TRUSTEE,taylor,910236600,235316,Gonzaga University
WOLFF ALVIN 1 50,X 0 0 0,"TRUSTEE, CHAIR",wolff,910236600,235316,Gonzaga University
MCCULLOH THAYNE 40 00,"X X 409,035 0 43,366",PRESIDENT,mcculloh,910236600,235316,Gonzaga University
MARTIN EARL 40 00,"X 281,507 0 43,303",EXECUTIVE VICE PRESIDENT,martin,910236600,235316,Gonzaga University
KILLEN PATRICIA 40 00,"X 281,511 0 32,774",ACADEMIC VICE PRESIDENT,killen,910236600,235316,Gonzaga University
MURPHY CHARLES 40 00,"X 230,576 0 35,591",VICE PRESIDENT FOR FINANCE,murphy,910236600,235316,Gonzaga University
STANFIELD MARGOT 40 00,"X 233,035 0 29,096",SENIOR VP FOR PRINCIPAL GIFTS,stanfield,910236600,235316,Gonzaga University
CASE SJ FRANK 40 00,X 0 0 0,VICE PRESIDENT FOR MISSION,case,910236600,235316,Gonzaga University
WEITZ SUSAN 40 00,"X 150,430 0 34,434",VP FOR STUDENT DEVELOPMENT,weitz,910236600,235316,Gonzaga University
BIGGS GARBUIO JUDITH 40 00,"x 70,796 0 7,678",VP FOR STUDENT DEVELOPMENT,biggs,910236600,235316,Gonzaga University
POSS JOSEPH 40 00,"X 205,832 0 36,452",VP FOR UNIVERSITY ADVANCEMENT,poss,910236600,235316,Gonzaga University
MCGUIRE MAUREEN 40 00,"x 155,860 0 6,461",CORPORATION COUNSEL,mcguire,910236600,235316,Gonzaga University
ROTH MICHAEL 40 00,"X 398,757 0 29,634",ATHLETIC DIRECTOR,roth,910236600,235316,Gonzaga University
FEW MARK 40 00,"x 1,333,504 0 41,307",MEN'S BASKETBALL HEAD COACH,few,910236600,235316,Gonzaga University
GRAVES KELLY 40 00,"X 400,075 0 41,366",COACH,graves,910236600,235316,Gonzaga University
KORN JANE 40 00,"X 257,001 0 34,091","DEAN, LAW SCHOOL",korn,910236600,235316,Gonzaga University
SILLIMAN STEVEN 40 00,"X 219,406 0 30,207","DEAN, SCHOOL OF ENGINEERING AND APPLIED SCIENCE",silliman,910236600,235316,Gonzaga University
