line1,line2,line3,key,fein,unitid,institutionname
DAVID MYERS 1 00,X 0 0 0,TRUSTEE,david,910473310,475200,Whitworth University-Adult Degree Programs
JAMES MUNYON 1 00,X 0 0 0,TRUSTEE,james,910473310,475200,Whitworth University-Adult Degree Programs
WALTER OLIVER 1 00,X 0 0 0,TRUSTEE,walter,910473310,475200,Whitworth University-Adult Degree Programs
ANDREW ROBBLEE 1 00,X 0 0 0,TRUSTEE,andrew,910473310,475200,Whitworth University-Adult Degree Programs
JENNIFER RATCLIFFE 1 00,X 0 0 0,TRUSTEE,jennifer,910473310,475200,Whitworth University-Adult Degree Programs
BECK TAYLOR 40 00,"X X 304,905 0 95,132",PRESIDENT 1 00,beck,910473310,475200,Whitworth University-Adult Degree Programs
KENNETH ROBERTS 1 00,X 0 0 0,TRUSTEE,kenneth,910473310,475200,Whitworth University-Adult Degree Programs
JASON THACKSTON 40 00,X 0 0 0,TRUSTEE,jason,910473310,475200,Whitworth University-Adult Degree Programs
JOHN DAVID ROBBLEE 40 00,X 0 0 0,TRUSTEE,john,910473310,475200,Whitworth University-Adult Degree Programs
TERRI WILSON 40 00,X 0 0 0,TRUSTEE,terri,910473310,475200,Whitworth University-Adult Degree Programs
STUART STILES 1 00,X 0 0 0,TRUSTEE,stuart,910473310,475200,Whitworth University-Adult Degree Programs
JOHN SOWERS 1 00,X 0 0 0,TRUSTEE,john,910473310,475200,Whitworth University-Adult Degree Programs
ANNE STORM 1 00,X 0 0 0,TRUSTEE,anne,910473310,475200,Whitworth University-Adult Degree Programs
ARTHUR SYMONS 1 00,X 0 0 0,TRUSTEE,arthur,910473310,475200,Whitworth University-Adult Degree Programs
DEBBIE COZZETTO 1 00,X 0 0 0,TRUSTEE,debbie,910473310,475200,Whitworth University-Adult Degree Programs
RANDY CLARK 1 00,X 0 0 0,TRUSTEE,randy,910473310,475200,Whitworth University-Adult Degree Programs
PAUL CUNNINGHAM 1 00,X 0 0 0,TRUSTEE,paul,910473310,475200,Whitworth University-Adult Degree Programs
TRAVIS DOWNS 1 00,X 0 0 0,TRUSTEE,travis,910473310,475200,Whitworth University-Adult Degree Programs
CLARK DONNELL 1 00,X 0 0 0,TRUSTEE,clark,910473310,475200,Whitworth University-Adult Degree Programs
JAMES BENNETT 1 00,X 0 0 0,TRUSTEE,james,910473310,475200,Whitworth University-Adult Degree Programs
PETER BARNES 1 00,X 0 0 0,TRUSTEE,peter,910473310,475200,Whitworth University-Adult Degree Programs
CHARLES BOPPELL 1 00,X 0 0 0,TRUSTEE,charles,910473310,475200,Whitworth University-Adult Degree Programs
SCOTT CHANDLER 1 00,X 0 0 0,TRUSTEE,scott,910473310,475200,Whitworth University-Adult Degree Programs
JEREMIAH CASE 1 00,X 0 0 0,TRUSTEE,jeremiah,910473310,475200,Whitworth University-Adult Degree Programs
SCOTT DUDLEY 1 00,X 0 0 0,TRUSTEE,scott,910473310,475200,Whitworth University-Adult Degree Programs
BRIAN KIRKPATRICK 1 00,X 0 0 0,TRUSTEE,brian,910473310,475200,Whitworth University-Adult Degree Programs
MICHAEL KEENAN 1 00,X 0 0 0,TRUSTEE,michael,910473310,475200,Whitworth University-Adult Degree Programs
ANDREA LAIRSON 1 00,X 0 0 0,TRUSTEE,andrea,910473310,475200,Whitworth University-Adult Degree Programs
JAMES LOW 1 00,X 0 0 0,TRUSTEE,james,910473310,475200,Whitworth University-Adult Degree Programs
WILLIAM FD( 1 00,X 0 0 0,TRUSTEE,william,910473310,475200,Whitworth University-Adult Degree Programs
PHILIP EATON 1 00,X 0 0 0,TRUSTEE,philip,910473310,475200,Whitworth University-Adult Degree Programs
NICHOLAS FOWLER 1 00,X 0 0 0,TRUSTEE,nicholas,910473310,475200,Whitworth University-Adult Degree Programs
GARY HOPKINS 1 00,X 0 0 0,TRUSTEE,gary,910473310,475200,Whitworth University-Adult Degree Programs
KATHLEEN GOODRICH 1 00,X 0 0 0,TRUSTEE,kathleen,910473310,475200,Whitworth University-Adult Degree Programs
BRIAN BENZEL 40 00,"X 176,665 0 19,543","VP, FINANCE — PART YEAR 1 00",brian,910473310,475200,Whitworth University-Adult Degree Programs
GERALD GEMMILL 40 00,"x 26,865 0 3,894","VP, FINANCE — PART YEAR",gerald,910473310,475200,Whitworth University-Adult Degree Programs
DENNIS STERNER 40 00,"X 131,600 0 16,854",PROFESSOR,dennis,910473310,475200,Whitworth University-Adult Degree Programs
BARBARA SANDERS 40 00,"X 136,403 0 17,211",PROFESSOR,barbara,910473310,475200,Whitworth University-Adult Degree Programs
SCOTT MCQUILKIN 40 00,"X 156,229 0 87,812",VP FOR INSTITUTIONAL ADVAN 1 00,scott,910473310,475200,Whitworth University-Adult Degree Programs
NOELLE WIERSMA 40 00,"X 127,237 0 34,041",ASSOCIATE PROFESSOR,noelle,910473310,475200,Whitworth University-Adult Degree Programs
TIMOTHY WILKINSON 40 00,"X 151,437 0 58,565","DEAN, SCHOOL OF BUSINESS",timothy,910473310,475200,Whitworth University-Adult Degree Programs
WILLIAM ROBINSON 40 00,"X 184,175 0 0",FORMER PRESIDENT 1 00,william,910473310,475200,Whitworth University-Adult Degree Programs
