line1,line2,line3,key,fein,unitid,institutionname
PatrIck Rants 1,X X 0 0 0,Board ChaIr 0,patrick,910564993,236452,Saint Martin's University
A RIchard PanOWIcz 1,X X 0 0 0,VIce ChaIr 0,richard,910564993,236452,Saint Martin's University
Roy F HeynderIckx 40,"X X 254,775 0 82,683",PreSIdent 0,roy,910564993,236452,Saint Martin's University
Abbot Neal G Roth OSB 1,X X 0 0 0,Chancellor 0,abbot,910564993,236452,Saint Martin's University
Fr Bede ClaSSIck OSB 1,X X 0 0 0,Treasurer 0,bede,910564993,236452,Saint Martin's University
Fr Alfred J Hulscher OSB 1,X X 0 0 0,Secretary 0,alfred,910564993,236452,Saint Martin's University
Joseph AlongI 1,X 0 0 0,Trustee 0,joseph,910564993,236452,Saint Martin's University
Ken Anderson 1,X 0 0 0,Trustee 0,ken,910564993,236452,Saint Martin's University
Kenneth Berchtold 1,X 0 0 0,Trustee 0,kenneth,910564993,236452,Saint Martin's University
BrIan CharneskI 1,X 0 0 0,Trustee 0,brian,910564993,236452,Saint Martin's University
G MIchael Cronk 1,X 0 0 0,Trustee 0,michael,910564993,236452,Saint Martin's University
PatrIck W Crumb 1,X 0 0 0,Trustee 0,patrick,910564993,236452,Saint Martin's University
WaIte Dalrymple 1,X 0 0 0,Trustee 0,waite,910564993,236452,Saint Martin's University
LorI Drummond 1,X 0 0 0,Trustee 0,lori,910564993,236452,Saint Martin's University
DanIel Dugaw 1,X 0 0 0,Trustee 0,daniel,910564993,236452,Saint Martin's University
Gerry Gallagher 1,X 0 0 0,Trustee 0,gerry,910564993,236452,Saint Martin's University
JIm GuerCI 1,X 0 0 0,Trustee 0,jim,910564993,236452,Saint Martin's University
PhIlle Hall 1,X 0 0 0,Trustee 0,hall,910564993,236452,Saint Martin's University
Hands Iwasawa 1,X 0 0 0,Trustee 0,hands,910564993,236452,Saint Martin's University
Br BonIface V LazzarI OSB 1,X 0 0 0,Trustee 0,boniface,910564993,236452,Saint Martin's University
Steve Leahy 1,X 0 0 0,Trustee 0,steve,910564993,236452,Saint Martin's University
Kathy Lombardo 1,X 0 0 0,Trustee 0,kathy,910564993,236452,Saint Martin's University
Fr KIlIan Malvey OSB 1,X 0 0 0,Trustee 0,kilian,910564993,236452,Saint Martin's University
Matt Marcus 1,X 0 0 0,Trustee 0,matt,910564993,236452,Saint Martin's University
FrJustIn McCreedy 1,X 0 0 0,Trustee 0,mccreedy,910564993,236452,Saint Martin's University
Terence Monaghan 1,X 0 0 0,Trustee 0,terence,910564993,236452,Saint Martin's University
Kathleen C O' Grady 1,X 0 0 0,Trustee 0,kathleen,910564993,236452,Saint Martin's University
John O'Halloran 1,X 0 0 0,Trustee 0,john,910564993,236452,Saint Martin's University
KatIe OpItz 1,X 0 0 0,Trustee 0,katie,910564993,236452,Saint Martin's University
RIchard Roney 1,X 0 0 0,Trustee 0,richard,910564993,236452,Saint Martin's University
Fr Stephen Rowan 1,X 0 0 0,Trustee 0,stephen,910564993,236452,Saint Martin's University
Jay Rudd MD 1,X 0 0 0,Trustee,jay,910564993,236452,Saint Martin's University
PhIlle S WeIgand 1,X 0 0 0,Trustee 0,weigand,910564993,236452,Saint Martin's University
Joe WIllIams 1,X 0 0 0,Trustee 0,joe,910564993,236452,Saint Martin's University
CynthIa 5 Worth 1,X 0 0 0,Trustee 0,worth,910564993,236452,Saint Martin's University
Fr Aelred Woodard OSB 1,X 0 0 0,Trustee 0,woodard,910564993,236452,Saint Martin's University
Joseph BeSSIe 40,"x 53,699 0 5,939",Provost TermInated 6—2013 0,joseph,910564993,236452,Saint Martin's University
Molly SmIth 40,"x 79,887 0 3,278",Provost 0,molly,910564993,236452,Saint Martin's University
Susan Heltsley 40,"X 110,665 0 64,592",VP of FInance/ChIef FInanCIal Ofﬁcer 0,susan,910564993,236452,Saint Martin's University
Rosanne NIchols 40,"X 168,539 0 15,344","VP of InstItutIonal Advancement, termInated 10/4/2013 0",rosanne,910564993,236452,Saint Martin's University
Zella Kahn Jetter 40,"X 116,997 0 17,244",Dean of EngIneerIng 0,zella,910564993,236452,Saint Martin's University
Joyce Westgard 40,"X 114,809 0 17,592","Dean, College of EducatIon and ProfeSSIonal Psychology 0",joyce,910564993,236452,Saint Martin's University
ErIc Apfelstadt 40,"X 113,437 0 16,007",Dean of Arts and SCIences 0,eric,910564993,236452,Saint Martin's University
JoachIm R Beer 40,"X 108,171 0 19,836",Dean of Busmess 0,joachim,910564993,236452,Saint Martin's University
