line1,line2,line3,key,fein,unitid,institutionname
ALAN SCHABERG 2 00,X 0 0,DIRECTOR 0 00,alan,910615846,236133,Northwest University
ALAN WARNEKE 1 00,X 0 0,DIRECTOR 0 00,alan,910615846,236133,Northwest University
BARBARA PETI'Y 2 00,X X 0 0,VICE CHAIR 0 00,barbara,910615846,236133,Northwest University
BILL WELCH 1 00,X 0 0,DIRECTOR 0 00,bill,910615846,236133,Northwest University
BILL WILSON 1 00,"X 13,743 0",DIRECTOR 0 00,bill,910615846,236133,Northwest University
BOYD POWERS 2 00,X X 0 0,TREASURER 0 00,boyd,910615846,236133,Northwest University
BYRON PERKINS 1 00,X 0 0,DIRECTOR 0 00,byron,910615846,236133,Northwest University
CHRIS EDWARDSON 1 00,X 0 0,DIRECTOR 0 00,chris,910615846,236133,Northwest University
DAN SCHIMELPFENIG 1 00,X 0 0,DIRECTOR 20,dan,910615846,236133,Northwest University
DAVE COLE 1 00,X 0 0,DIRECTOR 0 00,dave,910615846,236133,Northwest University
DAVE PHILLIPS 1 00,X 0 0,DIRECTOR 0 00,dave,910615846,236133,Northwest University
DAVE VEACH 1 00,X 0 0,DIRECTOR 0 00,dave,910615846,236133,Northwest University
DON DETRICK 1 00,"x 2,800 0",DIRECTOR 0 00,don,910615846,236133,Northwest University
DOYLE FULKES 2 00,"x 3,924 0",DIRECTOR 0 00,doyle,910615846,236133,Northwest University
EUGENE SMITH 1 00,X 0 0,DIRECTOR 0 00,eugene,910615846,236133,Northwest University
GARY KING 1 00,X 0 0,DIRECTOR 0 00,gary,910615846,236133,Northwest University
GEORGE REECE 1 00,X 0 0,DIRECTOR 0 00,george,910615846,236133,Northwest University
GINI SMITH 1 00,X 0 0,DIRECTOR 0 00,smith,910615846,236133,Northwest University
JAMES BRADDY 2 00,X 0 0,DIRECTOR 0 00,james,910615846,236133,Northwest University
JESSE GALINDO 1 00,X 0 0,DIRECTOR 0 00,jesse,910615846,236133,Northwest University
JIM RICE 1 00,X 0 0,DIRECTOR 0 00,jim,910615846,236133,Northwest University
JOHN FOX 1 00,"X 18,116 0",DIRECTOR 0 00,john,910615846,236133,Northwest University
JOSEPH CASTLEBERRY 32 00,"X X 115,442 114,472",UNIVERSITY PRESIDENT 8 00,joseph,910615846,236133,Northwest University
KAY PENG KHOO 1 00,X 0 0,DIRECTOR 0 00,kay,910615846,236133,Northwest University
KRISTEN WAGGONER 1 00,"x 1,000 0",DIRECTOR 0 00,kristen,910615846,236133,Northwest University
HILARIO GARZA 1 00,X 0 0 0,DIRECTOR 0 00,hilario,910615846,236133,Northwest University
MARK ZWEIFEL 1 00,X 0 0 0,DIRECTOR 0 00,mark,910615846,236133,Northwest University
ROBERT BUNBURY 1 00,X 0 0 0,DIRECTOR 0 00,robert,910615846,236133,Northwest University
ROSIE BARRIOS 1 00,X 0 0 0,DIRECTOR 0 00,rosie,910615846,236133,Northwest University
SALLEE CONN 2 00,X X 0 0 0,SECRETARY 0 00,sallee,910615846,236133,Northwest University
TONY PIZELO 1 00,X 0 0 0,DIRECTOR 0 00,tony,910615846,236133,Northwest University
WARREN BULLOCK 2 00,X 0 0 0,DIRECTOR 0 00,warren,910615846,236133,Northwest University
JOHN JORDAN 32 00,"x 52,023 0 64,964",CFO 8 00,john,910615846,236133,Northwest University
RON JACOBSON 40 00,"x 106,175 0 4,669","DEAN, SCHOOL OF EDUCATION 0 00",ron,910615846,236133,Northwest University
