line1,line2,line3,key,fein,unitid,institutionname
ARMENDARIZ GEORGE 1 00,X 0 0 0,BOARD MEMBER,armendariz,911160585,235422,Heritage University
BOUCHEY RENEE 1 00,X 0 0 0,BOARD MEMBER,bouchey,911160585,235422,Heritage University
DODGE SONJA 1 00,X 0 0 0,BOARD MEMBER,dodge,911160585,235422,Heritage University
GAMACHE RONALD F 1 00,X 0 0 0,BOARD MEMBER,gamache,911160585,235422,Heritage University
GATES MIMI 1 00,X 0 0 0,BOARD MEMBER,gates,911160585,235422,Heritage University
GOLDE HELLMUT 1 00,X 0 0 0,BOARD MEMBER,golde,911160585,235422,Heritage University
GUIDON MICHAEL 1 00,X 0 0 0,BOARD MEMBER,michael,911160585,235422,Heritage University
HILTON KATHLEEN SNJM 1 00,X 0 0 0,BOARD MEMBER,hilton,911160585,235422,Heritage University
LINNEN PAULA 1 00,X 0 0 0,BOARD MEMBER,linnen,911160585,235422,Heritage University
MCGREE ELIZABETH M 1 00,X 0 0 0,BOARD MEMBER,elizabeth,911160585,235422,Heritage University
MCMURRAY LAURA 1 00,X X 0 0 0,SECOND VICE CHAIR,mcmurray,911160585,235422,Heritage University
SECOND VICE CHAIR,MEARS THOMAS 1 00,X 0 0 0,second,911160585,235422,Heritage University
MEARS THOMAS 1 00,X 0 0 0,BOARD MEMBER,mears,911160585,235422,Heritage University
MONAHAN BRENDAN 1 00,X 0 0 0,BOARD MEMBER,monahan,911160585,235422,Heritage University
MOULTON PAUL G 1 00,X 0 0 0,BOARD MEMBER,moulton,911160585,235422,Heritage University
OSHIE PATRICK 1 00,X 0 0 0,BOARD MEMBER,patrick,911160585,235422,Heritage University
PADILLA FRANK 1 00,X 0 0 0,BOARD MEMBER,padilla,911160585,235422,Heritage University
PINNELL RICK 1 00,X X 0 0 0,CHAIR,pinnell,911160585,235422,Heritage University
RAMSEY KIP 1 00,X X 0 0 0,SECRETARY,ramsey,911160585,235422,Heritage University
RICH BILL 1 00,X X 0 0 0,FIRST VICE CHAIR,rich,911160585,235422,Heritage University
FIRST VICE CHAIR,RIGDON PHIL 1 00,X 0 0 0,first,911160585,235422,Heritage University
RIGDON PHIL 1 00,X 0 0 0,BOARD MEMBER,rigdon,911160585,235422,Heritage University
SMITH KEN 1 00,X 0 0 0,BOARD MEMBER,smith,911160585,235422,Heritage University
TWISS RICHARD DR 1 00,X 0 0 0,BOARD MEMBER,twiss,911160585,235422,Heritage University
VILLANUEVA JANE 1 00,X 0 0 0,BOARD MEMBER,villanueva,911160585,235422,Heritage University
WARNER BARRY 1 00,X 0 0 0,BOARD MEMBER,warner,911160585,235422,Heritage University
WEAVER GAIL 1 00,X 0 0 0,BOARD MEMBER,weaver,911160585,235422,Heritage University
BASSETT JOHN E 40 00,"X 252,382 0 24,765",UNIVERSITY PRESIDENT,bassett,911160585,235422,Heritage University
FILKOWSKI MELISSA B 40 00,"X 126,236 0 25,078",VP/ STUDENT AFFAIRS,melissa,911160585,235422,Heritage University
GAGNIER RICK 40 00,"X 166,359 0 20,354",FORMER VP/SUPPORT SERVICES/CFO,gagnier,911160585,235422,Heritage University
GUAGLIANONE CURTIS L 40 00,"X 187,200 0 32,766",VP/PROVOST,curtis,911160585,235422,Heritage University
MOORE MICHAEL 40 00,"X 146,105 0 36,630",VP/ADVANCEMENT,moore,911160585,235422,Heritage University
STROM SIRIJ 40 00,"X 140,762 0 18,580",VP/SUPPORT SERVICES/CFO,strom,911160585,235422,Heritage University
WISE DAVID 40 00,"x 73,607 0 4,788",VP/MARKETING,wise,911160585,235422,Heritage University
BUSH JIM 40 00,"X 102,505 0 15,865",1T DIRECTOR,bush,911160585,235422,Heritage University
DALE LINDA MAY 40 00,"X 101,792 0 12,356",NURSING DIRECTOR,dale,911160585,235422,Heritage University
MCGUIGAN CORRINE 40 00,"X 113,433 0 16,607",HU 105 PROJECT DIRECTOR,mcguigan,911160585,235422,Heritage University
HU 105 PROJECT DIRECTOR,SCHMIDT LOREN 40 00,"X 105,554 0 16,008",hu,911160585,235422,Heritage University
SCHMIDT LOREN 40 00,"X 105,554 0 16,008",PROFESSOR,schmidt,911160585,235422,Heritage University
