line1,line2,line3,key,fein,unitid,institutionname
ANDREW EKER 1 0,X,TRUSTEE 0 0,andrew,920023588,102669,Alaska Pacific University
Bonnie L Mehner 3 0,X X,Chair 1 0,bonnie,920023588,102669,Alaska Pacific University
Carl F Brady Jr 1 0,X,TRUSTEE 0 0,carl,920023588,102669,Alaska Pacific University
Charlie Fahl 1 0,X,TRUSTEE 0 0,charlie,920023588,102669,Alaska Pacific University
Christopher Hodel 1 0,X,TRUSTEE 1 0,christopher,920023588,102669,Alaska Pacific University
Donald T Keil Jr 1 0,X,TRUSTEE 1 0,donald,920023588,102669,Alaska Pacific University
Edward Rasmuson 1 0,X,TRUSTEE 0 0,edward,920023588,102669,Alaska Pacific University
Eric Wohlforth 1 0,X,TRUSTEE 2 0,eric,920023588,102669,Alaska Pacific University
Hands T Hurley 1 0,X,TRUSTEE 0 0,hands,920023588,102669,Alaska Pacific University
George Walton 1 0,X,TRUSTEE 0 0,george,920023588,102669,Alaska Pacific University
HARRY MCDONALD 1 0,X,TRUSTEE 0 0,harry,920023588,102669,Alaska Pacific University
Hugh Ashlock 1 0,X,TRUSTEE 0 0,hugh,920023588,102669,Alaska Pacific University
Jan Sieberts 1 0,X,TRUSTEE 3 0,jan,920023588,102669,Alaska Pacific University
John Eng 2 0,X X,Secretary 0 0,john,920023588,102669,Alaska Pacific University
John Wanamaker 1 0,X,TRUSTEE 0 0,john,920023588,102669,Alaska Pacific University
Karen L Hunt 1 0,X,TRUSTEE 0 0,karen,920023588,102669,Alaska Pacific University
Katherine Gottlieb 1 0,X,TRUSTEE 0 0,katherine,920023588,102669,Alaska Pacific University
Larry Cash 1 0,X,TRUSTEE 0 0,larry,920023588,102669,Alaska Pacific University
Lottie M Michael 1 0,X,TRUSTEE 1 0,lottie,920023588,102669,Alaska Pacific University
Mary Bettis 1 0,X,TRUSTEE 0 0,mary,920023588,102669,Alaska Pacific University
Pamela Brown Heller 1 0,X,TRUSTEE 0 0,pamela,920023588,102669,Alaska Pacific University
PA'I'I'I MCGUIRE 1 0,X,TRUSTEE 0 0,mcguire,920023588,102669,Alaska Pacific University
ROBERTA GRAHAM 3 0,X X,Vice—Chair 0 0,roberta,920023588,102669,Alaska Pacific University
SUZANNE LINFORD 1 0,X,TRUSTEE 1 0,suzanne,920023588,102669,Alaska Pacific University
TYRA CHANDLER 1 0,X,TRUSTEE 0 0,tyra,920023588,102669,Alaska Pacific University
WESLEY HEINOLD 1 0,X,TRUSTEE 0 0,wesley,920023588,102669,Alaska Pacific University
WILL ANDERSON 1 0,X,TRUSTEE 0 0,will,920023588,102669,Alaska Pacific University
William Sheffield 1 0,X,TRUSTEE 0 0,william,920023588,102669,Alaska Pacific University
DAVE KARP 1 0,X,TRUSTEE 0 0,dave,920023588,102669,Alaska Pacific University
Roger Chan 3 0,X X,TREASURER 1 0,roger,920023588,102669,Alaska Pacific University
Trigg DaVIs 1 0,X,TRUSTEE 0 0,trigg,920023588,102669,Alaska Pacific University
Jason Metrokin 1 0,X,Trustee 1 0,jason,920023588,102669,Alaska Pacific University
Steven Moore 1 0,X,Trustee 0 0,steven,920023588,102669,Alaska Pacific University
DEBORAH JOHNSTON 50 0,"x 112,145 22,609",CHIEF FINANCE OFFICER 0 0,deborah,920023588,102669,Alaska Pacific University
DONALD BANTZ 50 0,"X 228,608 0 22,776",PRESIDENT 3 0,donald,920023588,102669,Alaska Pacific University
Leslie Cornick 30 0,"x 117,513 14,904",Faculty 0 0,leslie,920023588,102669,Alaska Pacific University
Brad Harris 30 0,"x 105,011 24,619",Faculty 0 0,brad,920023588,102669,Alaska Pacific University
Tracy Stewart 50 0,"x 107,122 24,873",Academic Dean 0 0,tracy,920023588,102669,Alaska Pacific University
