line1,line2,line3,key,fein,unitid,institutionname
Gordon LCrIsman 5,X X 0 0 0,Trustee ChaIr 0,gordon,930386839,208822,George Fox University
Deborah A MartIn 5,X X 0 0 0,Trustee VIce ChaIr 0,deborah,930386839,208822,George Fox University
DaVId Woolsey 5,X X 0 0 0,Trustee Secretary 0,david,930386839,208822,George Fox University
DaVId Andersen 5,X 0 0 0,Trustee 0,david,930386839,208822,George Fox University
PatrICIa Anderson 5,X 0 0 0,Trustee 0,patricia,930386839,208822,George Fox University
Ken Beebe 5,X 0 0 0,Trustee 0,ken,930386839,208822,George Fox University
CarrIe Lamm BIshop 5,X 0 0 0,Trustee 0,carrie,930386839,208822,George Fox University
Don G Carter 5,X 0 0 0,Trustee 0,don,930386839,208822,George Fox University
Raymond Cheung 5,X 0 0 0,Trustee 0,raymond,930386839,208822,George Fox University
MIke Delk 5,X 0 0 0,Trustee 0,mike,930386839,208822,George Fox University
Frank Engle Jr 5,X 0 0 0,Trustee 0,frank,930386839,208822,George Fox University
Angela F099 5,X 0 0 0,Trustee 0,angela,930386839,208822,George Fox University
KeIth G GalItz 5,X 0 0 0,Trustee 0,keith,930386839,208822,George Fox University
Scott Gratsmger 5,X 0 0 0,Trustee 0,scott,930386839,208822,George Fox University
DaVId Green 5,X 0 0 0,Trustee 0,david,930386839,208822,George Fox University
Dale W Hadley 5,X 0 0 0,Trustee 0,dale,930386839,208822,George Fox University
ErIc Hagen 5,X 0 0 0,Trustee 0,eric,930386839,208822,George Fox University
Estle Harlan 5,X 0 0 0,Trustee 0,estle,930386839,208822,George Fox University
Paula KInney 5,X 0 0 0,Trustee 0,paula,930386839,208822,George Fox University
JIm Le Shana 5,X 0 0 0,Trustee 0,jim,930386839,208822,George Fox University
Heather LeWIs 5,X 0 0 0,Trustee 0,heather,930386839,208822,George Fox University
Stanley D Morse 5,X 0 0 0,Trustee 0,stanley,930386839,208822,George Fox University
Barbara D Palmer 5,X 0 0 0,Trustee 0,barbara,930386839,208822,George Fox University
Brent Peterson 5,X 0 0 0,Trustee 0,brent,930386839,208822,George Fox University
VIctor A Peterson 5,X 0 0 0,Trustee 0,victor,930386839,208822,George Fox University
Adam Puckett 5,X 0 0 0,Trustee 0,adam,930386839,208822,George Fox University
Ken Redford 5,X 0 0 0,Trustee 0,ken,930386839,208822,George Fox University
GlorIa Schwmdt 5,X 0 0 0,Trustee 0,gloria,930386839,208822,George Fox University
Truman Stone 5,X 0 0 0,Trustee 0,truman,930386839,208822,George Fox University
Stephen M Tatone 5,X 0 0 0,Trustee 0,stephen,930386839,208822,George Fox University
Kent LThornburg 5,X 0 0 0,Trustee 0,kent,930386839,208822,George Fox University
WIllIam B WIlson 5,X 0 0 0,Trustee 0,william,930386839,208822,George Fox University
Scott WInter 5,X 0 0 0,Trustee 0,scott,930386839,208822,George Fox University
RobIn Baker 50,"X 340,852 0 123,044",PreSIdent 0,robin,930386839,208822,George Fox University
Theodore Allen 50,"X 175,888 0 41,546",EVP & ChIef OperatIng Ofﬁcer 0,theodore,930386839,208822,George Fox University
Rob Westervelt 50,"X 134,012 0 22,095",EVP for MarketIng & Enrollment 0,rob,930386839,208822,George Fox University
LInda Samek 50,"X 127,219 0 13,765",Provost 0,linda,930386839,208822,George Fox University
BrIan Gardner 50,"X 134,624 0 24,697",V P for Advancement 0,brian,930386839,208822,George Fox University
Brad Lau 50,"X 100,951 0 20,255",VP for Student LIfe 0,brad,930386839,208822,George Fox University
Lynn Andrews 50,"x 13,903 0 1,391",V P for Advancement 0,lynn,930386839,208822,George Fox University
Robert Harder 40,"X 130,942 0 68,248",Professor MechanIcal EngIneerIng 0,robert,930386839,208822,George Fox University
PatrIck Allen 40,"X 127,730 0 27,457",Professor — EDFL 0,patrick,930386839,208822,George Fox University
Mary Peterson 40,"X 120,203 0 10,701",Assoc Prof Grad Psychology 0,mary,930386839,208822,George Fox University
DIrk Barram 40,"X 110,565 0 21,256",Dean School of Busmess 0,dirk,930386839,208822,George Fox University
