line1,line2,line3,key,fein,unitid,institutionname
JAMES F ALBAUGH 1 00,X 0 0 0,BOARD MEMBER,james,930386972,210401,Willamette University
DIANE C BABBlTl' 1 00,X 0 0 0,BOARD MEMBER,diane,930386972,210401,Willamette University
JULIE E BRANFORD 1 00,X 0 0 0,BOARD MEMBER,julie,930386972,210401,Willamette University
TRUMAN COLLINS 1 00,X 0 0 0,BOARD MEMBER,truman,930386972,210401,Willamette University
JAMES B CUNO 1 00,X 0 0 0,BOARD MEMBER,james,930386972,210401,Willamette University
HEATHER K DEMPSEY 1 00,X 0 0 0,BOARD MEMBER,heather,930386972,210401,Willamette University
JAMES A FlTZHENRY 1 00,X 0 0 0,BOARD MEMBER,james,930386972,210401,Willamette University
ERIC M FRIEDENWALD—FISHMAN 1 00,X 0 0 0,BOARD MEMBER,eric,930386972,210401,Willamette University
WILLIAM R HADEN 1 00,X 0 0 0,BOARD MEMBER,william,930386972,210401,Willamette University
GRANT HAGIYA 1 00,X 0 0 0,BOARD MEMBER,grant,930386972,210401,Willamette University
MELVIN HENDERSON—RUBIO 1 00,X 0 0 0,BOARD MEMBER,melvin,930386972,210401,Willamette University
DALE M HERMANN 1 00,X 0 0 0,BOARD MEMBER,dale,930386972,210401,Willamette University
JOSEPH HOFFMAN 1 00,X 0 0 0,BOARD MEMBER,joseph,930386972,210401,Willamette University
BRIAN HUFFT 1 00,X 0 0 0,BOARD MEMBER,brian,930386972,210401,Willamette University
MARY K HUGHES 1 00,X 0 0 0,BOARD MEMBER,mary,930386972,210401,Willamette University
RONALD J KNOX 1 00,X 0 0 0,BOARD MEMBER,ronald,930386972,210401,Willamette University
EVA M KRIPALANI 1 00,X 0 0 0,BOARD MEMBER,eva,930386972,210401,Willamette University
KONRAD KRUGER 1 00,X 0 0 0,BOARD MEMBER,konrad,930386972,210401,Willamette University
HEIDI PATTERSON 1 00,X 0 0 0,BOARD MEMBER,heidi,930386972,210401,Willamette University
CRAIG PESTI—STROBEL 1 00,X 0 0 0,BOARD MEMBER,craig,930386972,210401,Willamette University
LYNN RISTIG 1 00,X 0 0 0,BOARD MEMBER,lynn,930386972,210401,Willamette University
JACQUELINE C RUSHING 1 00,X 0 0 0,BOARD MEMBER,jacqueline,930386972,210401,Willamette University
DALE C SAUSE 1 00,X 0 0 0,BOARD MEMBER,dale,930386972,210401,Willamette University
LYNNE SAXTON 1 00,X 0 0 0,BOARD MEMBER,lynne,930386972,210401,Willamette University
KEVIN R SMITH 1 00,X 0 0 0,BOARD MEMBER,kevin,930386972,210401,Willamette University
MELISSA L SMITH 1 00,X 0 0 0,BOARD MEMBER,melissa,930386972,210401,Willamette University
PATRICIA SMULLIN 1 00,X 0 0 0,BOARD MEMBER,patricia,930386972,210401,Willamette University
GUY C STEPHENSON 1 00,X 0 0 0,BOARD MEMBER,guy,930386972,210401,Willamette University
PATRICK J WAlTE 1 00,X 0 0 0,BOARD MEMBER,patrick,930386972,210401,Willamette University
RODERICK C WENDT 1 00,X 0 0 0,BOARD MEMBER,roderick,930386972,210401,Willamette University
STEVEN E WYNNE 1 00,X X 0 0 0,CHAIRMAN OF THE BOARD,steven,930386972,210401,Willamette University
DONALD G BROWN 1 00,X X 0 0 0,VICE CHAIRMAN OF THE BOARD,donald,930386972,210401,Willamette University
SANDRA M ROWE 1 00,X X 0 0 0,SECRETARY OF THE BOARD,sandra,930386972,210401,Willamette University
KERRY R TYMCHUK 1 00,X X 0 0 0,ASSISTANT SECRETARY OF THE BOARD,kerry,930386972,210401,Willamette University
STEPHEN E THORSETT 40 00,"X X 369,029 0 150,057",PRESIDENT,stephen,930386972,210401,Willamette University
WILLIAM A YASINSKI 40 00,"X X 271,197 0 62,898",VP FOR FINANCIAL AFFAIRS/TREASURER,william,930386972,210401,Willamette University
KRISTEN GRAINGER 40 00,"X 176,511 0 24,858",ADMIN SECRETARY/VP/EXEC ASST TO PRES,kristen,930386972,210401,Willamette University
PETER LETSOU 40 00,"X 163,051 0 21,283",DEAN OF THE COLLEGE OF LAW,peter,930386972,210401,Willamette University
MARLENE MOORE 40 00,"X 211,516 0 26,590",DEAN OF THE COLLEGE OF LIBERAL ARTS,marlene,930386972,210401,Willamette University
DEAN OF THE COLLEGE OF LIBERAL ARTS,SYMEON SYMEONIDES 40 00,"X 262,434 0 34,165",liberal,930386972,210401,Willamette University
SYMEON SYMEONIDES 40 00,"X 262,434 0 34,165",L PARKS CHAIR PROFESSOR OF LAW,symeon,930386972,210401,Willamette University
L PARKS CHAIR PROFESSOR OF LAW,DEBRA RINGOLD 40 00,"X 236,849 0 32,640",parks,930386972,210401,Willamette University
DEBRA RINGOLD 40 00,"X 236,849 0 32,640",DEAN OF ATKINSON GRAD SCHOOL OF MGMT,debra,930386972,210401,Willamette University
DEAN OF ATKINSON GRAD SCHOOL OF MGMT,DENNIS BERGVALL 40 00,"X 213,536 0 30,242",atkinson,930386972,210401,Willamette University
DENNIS BERGVALL 40 00,"X 213,536 0 30,242",VP FOR ADVANCEMENT DEVELOPMENT,dennis,930386972,210401,Willamette University
YVONNE TAMAYO 40 00,"X 202,488 0 20,763",PROFESSOR OF LAW/UNIV GEN COUNSEL,yvonne,930386972,210401,Willamette University
JAMES NAFZIGER 40 00,"X 184,514 0 25,343",THOMAS B STOEL PROFESSOR OF LAW,james,930386972,210401,Willamette University
THOMAS B STOEL PROFESSOR OF LAW,ROBERT OLSON 40 00,"X 149,029 0 58,557",thomas,930386972,210401,Willamette University
ROBERT OLSON 40 00,"X 149,029 0 58,557",FORMER INTERIM VP FIN AFFAIRS/TREAS,robert,930386972,210401,Willamette University
