line1,line2,line3,key,fein,unitid,institutionname
Mr Joseph B Allegretti 1,X 0 0 0,Trustee 0,joseph,930401259,209825,University of Portland
Rev Jeffrey LAllison CSC 40,"x 39,270 0 9,209",Trustee 0,jeffrey,930401259,209825,University of Portland
Mr Thomas D Arndorfer 1,X 0 0 0,Trustee 0,thomas,930401259,209825,University of Portland
Mr Richard Baek 1,X 0 0 0,Trustee 0,richard,930401259,209825,University of Portland
Mr Ralph G Bliquez 1,X 0 0 0,Trustee 0,ralph,930401259,209825,University of Portland
Mr John G Block 1,X 0 0 0,Trustee 0,john,930401259,209825,University of Portland
Mrs Mary R Boyle 1,X 0 0 0,Trustee 0,mary,930401259,209825,University of Portland
Mrs Nancy K Bryant 1,X 0 0 0,Trustee 0,nancy,930401259,209825,University of Portland
Mrs Annie T Buell 1,X 0 0 0,Trustee 0,annie,930401259,209825,University of Portland
Ms Catherine DaVId Buley 1,X 0 0 0,Trustee 0,catherine,930401259,209825,University of Portland
Ms Sarah N Carroll 1,X 0 0 0,Trustee 0,sarah,930401259,209825,University of Portland
Mr Matthew W Chapman 1,X 0 0 0,Trustee 0,matthew,930401259,209825,University of Portland
Mr Earle M Chiles 1,X 0 0 0,Trustee 0,earle,930401259,209825,University of Portland
Mr Kevm M Cooper 1,X 0 0 0,Trustee 0,cooper,930401259,209825,University of Portland
Mr Russell E Danielson 1,X 0 0 0,Trustee 0,russell,930401259,209825,University of Portland
Mr Frank D Dulcich 1,X 0 0 0,Trustee 0,frank,930401259,209825,University of Portland
Ms Amy Dundon—Berchtold 1,X 0 0 0,Trustee 0,amy,930401259,209825,University of Portland
Rev Carl F Ebey CSC 1,X 0 0 0,Trustee 0,carl,930401259,209825,University of Portland
Mr Patrick J Fennessy 1,X 0 0 0,Trustee 0,patrick,930401259,209825,University of Portland
Mr Robert W Franz 1,X 0 0 0,Trustee 0,robert,930401259,209825,University of Portland
Mr Mark B Ganz 1,X 0 0 0,Trustee 0,mark,930401259,209825,University of Portland
Rev Peter A Jarret CSC 1,X 0 0 0,Trustee 0,peter,930401259,209825,University of Portland
Ms Patricia K Johnson 1,X 0 0 0,Trustee 0,patricia,930401259,209825,University of Portland
Mr Charles Keller 1,X 0 0 0,Trustee 0,charles,930401259,209825,University of Portland
Mr Kasey Keller 1,X 0 0 0,Trustee 0,kasey,930401259,209825,University of Portland
Mr Patrick H Ke55i 1,X 0 0 0,Trustee 0,patrick,930401259,209825,University of Portland
Rev James R Lackenmier CSC 1,X 0 0 0,Trustee 0,james,930401259,209825,University of Portland
Mr Keith R Larson 1,X 0 0 0,Trustee 0,keith,930401259,209825,University of Portland
Rev William Lies CSC 1,X 0 0 0,Trustee 0,william,930401259,209825,University of Portland
Mr D Allen Lund 1,X 0 0 0,Trustee 0,allen,930401259,209825,University of Portland
Rev Edward A Malloy CSC 1,X 0 0 0,Trustee 0,edward,930401259,209825,University of Portland
Mr Ralph Miller 1,X 0 0 0,Trustee 0,ralph,930401259,209825,University of Portland
Mr Timothy J Morgan 1,X 0 0 0,Trustee 0,timothy,930401259,209825,University of Portland
MrJames P Murphy 1,X 0 0 0,Trustee 0,murphy,930401259,209825,University of Portland
Rev Thomas O'Hara CSC 1,X 0 0 0,Trustee 0,thomas,930401259,209825,University of Portland
Mr James T Price 1,X 0 0 0,Trustee 0,james,930401259,209825,University of Portland
Mrs Larree M Renda 1,X 0 0 0,Trustee 0,renda,930401259,209825,University of Portland
Dr Don V Romanaggi 1,X 0 0 0,Trustee 0,don,930401259,209825,University of Portland
Rev John Ryan CSC 1,X 0 0 0,Trustee 0,john,930401259,209825,University of Portland
Mr Stephen L Shepard 1,X 0 0 0,Trustee 0,stephen,930401259,209825,University of Portland
Ms Milann Siegfried 1,X 0 0 0,Trustee 0,siegfried,930401259,209825,University of Portland
Ms Darlene Shiley 1,X 0 0 0,Trustee 0,darlene,930401259,209825,University of Portland
Ms Kay Dean Toran 1,X 0 0 0,Trustee 0,kay,930401259,209825,University of Portland
Mr Ted R Winnowski 1,X 0 0 0,Trustee 0,ted,930401259,209825,University of Portland
Mr Eugene J Wizer 1,X 0 0 0,Trustee 0,eugene,930401259,209825,University of Portland
Mr Darryl P Wong 1,X 0 0 0,Trustee 0,darryl,930401259,209825,University of Portland
Dr Carolyn Y W00 1,X 0 0 0,Trustee 0,carolyn,930401259,209825,University of Portland
Rev William Beauchamp CSC 40,"X X 329,996 0 70,933",PreSIdent 0,william,930401259,209825,University of Portland
Mr Thomas Greene 40,"X 201,556 0 21,554",Provost 0,thomas,930401259,209825,University of Portland
Rev Mark Poorman CSC 40,"X 192,998 0 40,282",Executive Vice PreSIdent 0,mark,930401259,209825,University of Portland
Rev Gerard Olinger CSC 40,"X 189,772 0 35,935",Vice PreSIdent — Student Affairs 0,gerard,930401259,209825,University of Portland
Mr Alan Timmins 40,"x 183,341 0 9,741",Vice PreSIdent — Financial Affairs 0,alan,930401259,209825,University of Portland
Mr James Ravelli 40,"X 176,352 0 28,761",Vice PreSIdent — UniverSIty Operations 0,james,930401259,209825,University of Portland
Ms Laurie Kelley 40,"X 129,806 0 16,118",Vice PreSIdent — UniverSIty Relations 0,laurie,930401259,209825,University of Portland
Mr Michael Andrews 40,"X 179,773 0 27,006",Dean — College of Arts and Sciences 0,michael,930401259,209825,University of Portland
Mr John Watzke 40,"X 163,030 0 34,897",Dean — School of Education 1,john,930401259,209825,University of Portland
Mr Robin Anderson 40,"X 225,901 0 42,668",Dean — Pamplin School of Busmess 0,robin,930401259,209825,University of Portland
Ms Sharon Jones 40,"X 188,270 0 61,711",Dean — Shiley School of Engineering 0,sharon,930401259,209825,University of Portland
Ms Joanne Warner 40,"X 161,766 0 29,401",Dean — School of Nursmg 0,joanne,930401259,209825,University of Portland
Mr Eric Reveno 40,"X 422,552 0 45,490",Men's Basketball Coach 0,eric,930401259,209825,University of Portland
Mr Scott Leykam 40,"X 176,654 0 17,776",Athletic Director 0,scott,930401259,209825,University of Portland
Mr Bahram Adrangi 40,"X 164,898 0 29,374",Professor 0,bahram,930401259,209825,University of Portland
Mr Brian Adams 40,"X 164,019 0 37,359",Associate Professor 0,brian,930401259,209825,University of Portland
Mr Zia Yamayee 40,"X 129,570 0 20,944",Vassallo Distingmshed Professor 0,zia,930401259,209825,University of Portland
Vassallo Distingmshed Professor 0,Mr John Goldrick 40,"X 101,185 0 25,755",vassallo,930401259,209825,University of Portland
Mr John Goldrick 40,"X 101,185 0 25,755",UniverSIty Relations Sp Asst 0,john,930401259,209825,University of Portland
Mr James Lyons 40,"X 135,457 0 28,135",Former Vice PreSIdent — UniverSIty Relations 0,james,930401259,209825,University of Portland
