line1,line2,line3,key,fein,unitid,institutionname
Ruth Beyer 1 00,X 0 0 0,Trustee Chair 0,ruth,930634049,209108,Marylhurst University
Xandra T McKeown 1 00,X 0 0 0,Trustee Secretary Treasurer 0,xandra,930634049,209108,Marylhurst University
Eileen Brown SNJM 1 00,X 0 0 0,Trustee 0,eileen,930634049,209108,Marylhurst University
ROSWItha Frawley SNJM 1 00,X 0 0 0,Trustee 0,roswitha,930634049,209108,Marylhurst University
Lynda Thompson SNJM 1 00,X 0 0 0,Trustee 0,lynda,930634049,209108,Marylhurst University
Janina Kokorowski SNJM 1 00,X 0 0 0,Trustee 0,janina,930634049,209108,Marylhurst University
Ceclia A Ranger SNJM 1 00,X 0 0 0,Trustee 0,ranger,930634049,209108,Marylhurst University
Mary Burke SNJM 1 00,X 0 0 0,Trustee 0,mary,930634049,209108,Marylhurst University
Diana Pierce Knox 1 00,X 0 0 0,Trustee 0,diana,930634049,209108,Marylhurst University
Larry Choruby 1 00,X 0 0 0,Trustee 0,larry,930634049,209108,Marylhurst University
Michelle Castano Game 1 00,X 0 0 0,Trustee 0,michelle,930634049,209108,Marylhurst University
Sam W Shoen MD 1 00,X 0 0 0,Trustee 0,sam,930634049,209108,Marylhurst University
William C Barr 1 00,X 0 0 0,Trustee 0,william,930634049,209108,Marylhurst University
Andy Macritchie 1 00,X 0 0 0,Trustee 0,andy,930634049,209108,Marylhurst University
Rebecca DeCesaro 1 00,X 0 0 0,Trustee 0,rebecca,930634049,209108,Marylhurst University
Greg Hogensen 1 00,X 0 0 0,Trustee 0,greg,930634049,209108,Marylhurst University
Edward J Vranizan 1 00,X 0 0 0,Trustee 0,edward,930634049,209108,Marylhurst University
Stephen P Zimmer 1 00,X 0 0 0,Trustee 0,stephen,930634049,209108,Marylhurst University
Martin Ringle 1 00,X 0 0 0,Trustee 0,martin,930634049,209108,Marylhurst University
Judie Hammerstad 1 00,X 0 0 0,Trustee 0,judie,930634049,209108,Marylhurst University
Jane Hibbard SNJM 1 00,X 0 0 0,Trustee 0,jane,930634049,209108,Marylhurst University
PatrICIa Smith 1 00,X 0 0 0,Trustee 0,patricia,930634049,209108,Marylhurst University
Scott Bolton 1 00,X 0 0 0,Trustee 0,scott,930634049,209108,Marylhurst University
Kirk Mouser 1 00,X 0 0 0,Trustee 0,kirk,930634049,209108,Marylhurst University
Chip Terhune 1 00,X 0 0 0,Trustee 0,terhune,930634049,209108,Marylhurst University
Steve Brown 1 00,X 0 0 0,Trustee 0,steve,930634049,209108,Marylhurst University
Kristin Stathis 1 00,X 0 0 0,Trustee 0,kristin,930634049,209108,Marylhurst University
Judith Johansen 40,"x 177,926 0 9,403",PreSIdent 0,judith,930634049,209108,Marylhurst University
Jerry Hudson 40,"X 63,846 0 345",Interim PreSIdent 0,jerry,930634049,209108,Marylhurst University
DaVId Plotkin 40,"X 105,469 0 14,254",Provost 0,david,930634049,209108,Marylhurst University
Michael P Lammers 40,"x 79,953 0 10,291",VP and CFO 0,michael,930634049,209108,Marylhurst University
Debra Meyers 40,"x 100,951 0 8,779",Interim VP for Finance & Campus SeNices 0,debra,930634049,209108,Marylhurst University
Lynn Andrews 40,"X 108,373 0 12,623",VP for Institutional Advancement 0,lynn,930634049,209108,Marylhurst University
Elizabeth Woodward 40,"x 83,096 0 14,371",VP for Enrollment Management 0,elizabeth,930634049,209108,Marylhurst University
Ethan Benatan 40,"x 71,890 0 9,081",VP for Information Sewices — C10 0,ethan,930634049,209108,Marylhurst University
Celina Ratliff 40,"X 132,215 0 36,084",VP for Human Resources and Organizational Excellence 0,celina,930634049,209108,Marylhurst University
Fr Rick Ganz 40,X 0 0 0,VP for Community Relations 0,rick,930634049,209108,Marylhurst University
Sr Joan Saalfeld 40,X 0 0 0,VP for Mi55ion Integration 0,joan,930634049,209108,Marylhurst University
