line1,line2,line3,key,fein,unitid,institutionname
(2) CHANG MAN TSU 1 00,X 0 0 0,SECRETARY,chang,931022351,449870,University of the West
(3) FRANK ROGER 1 00,X 0 0 0,TREASURER,frank,931022351,449870,University of the West
(4) SHIH HSING YUN 1 00,X 0 0 0,TRUSTEE,shih,931022351,449870,University of the West
(5) VEN HSIN TING 1 00,X 0 0 0,TRUSTEE,ven,931022351,449870,University of the West
(6) CHEN HENRY 1 00,X 0 0 0,TRUSTEE,chen,931022351,449870,University of the West
(7) HSIAO PIHSIA 1 00,X 0 0 0,TRUSTEE,hsiao,931022351,449870,University of the West
(8) NORINSKY CAPERA CLEMENT 1 00,X 0 0 0,TRUSTEE,clement,931022351,449870,University of the West
(9) LANHAM DARLENE 1 00,X 0 0 0,TRUSTEE,lanham,931022351,449870,University of the West
(10) VEN TZU HUI 1 00,X 0 0 0,TRUSTEE,ven,931022351,449870,University of the West
(11) VEN TZU JUNG 1 00,X 0 0 0,TRUSTEE,ven,931022351,449870,University of the West
(12) VEN HUI CHUAN 1 00,X 0 0 0,TRUSTEE,ven,931022351,449870,University of the West
(13) STRUM JONATHAN 1 00,X 0 0 0,TRUSTEE,strum,931022351,449870,University of the West
(14) STITZER MATTHEW 1 00,X 0 0 0,TRUSTEE,stitzer,931022351,449870,University of the West
(15) CECIL WILLIS JR 1 00,X 0 0 0,TRUSTEE,cecil,931022351,449870,University of the West
(16) STEPHEN MORGAN 40 00,"X 88,846 0 0",PRESIDENT(6/2/2013),stephen,931022351,449870,University of the West
(17) CHEN YUEYUN 40 00,"x 111,412 0 7,680",CFO,chen,931022351,449870,University of the West
(18) WU CHIH SHUN 40 00,"x 96,456 0 3,056",FORMER PRESIDENT(LAST DAY 5/18/13),wu,931022351,449870,University of the West
FORMER PRESIDENT(LAST DAY 5/18/13),"1bSub-Total................ P""","c Total from continuation sheets to Part VII, Section A . . . . P""",day,931022351,449870,University of the West
