line1,line2,line3,key,fein,unitid,institutionname
BOLGER MARGARET 1 00,X X 0 0 0,SECRETARY,bolger,931139187,209603,Pacific Northwest College of Art
AVEDISIAN DONNA 1 00,X X 0 0 0,GOVERNOR,donna,931139187,209603,Pacific Northwest College of Art
BELLUSCHI ANTHONY 1 00,X 0 0 0,GOVERNOR,anthony,931139187,209603,Pacific Northwest College of Art
BISHOP JOHN P 1 00,X 0 0 0,GOVERNOR,bishop,931139187,209603,Pacific Northwest College of Art
BOKLUND MARY LEE 1 00,X 0 0 0,GOVERNOR,boklund,931139187,209603,Pacific Northwest College of Art
BOLES STANLEY 1 00,X 0 0 0,GOVERNOR,boles,931139187,209603,Pacific Northwest College of Art
BROWN JANIE 1 00,X 0 0 0,GOVERNOR,brown,931139187,209603,Pacific Northwest College of Art
BRUML LEMELSON JENNIFER 1 00,X X 0 0 0,GOVERNOR,jennifer,931139187,209603,Pacific Northwest College of Art
BRYAN JENNIFER 1 00,X 0 0 0,GOVERNOR,bryan,931139187,209603,Pacific Northwest College of Art
BRYER TORI 1 00,X 0 0 0,GOVERNOR,bryer,931139187,209603,Pacific Northwest College of Art
CUSHING MARK 1 00,X 0 0 0,GOVERNOR,cushing,931139187,209603,Pacific Northwest College of Art
D'AUTREMONT GENE 1 00,X 0 0 0,GOVERNOR,gene,931139187,209603,Pacific Northwest College of Art
GALLAGHER KATHY 1 00,X 0 0 0,GOVERNOR,gallagher,931139187,209603,Pacific Northwest College of Art
GRIGNON MARC F 1 00,X 0 0 0,GOVERNOR,grignon,931139187,209603,Pacific Northwest College of Art
HAMMER SUSAN 1 00,X 0 0 0,GOVERNOR,hammer,931139187,209603,Pacific Northwest College of Art
HAMPTON JAMEY 1 00,X 0 0 0,GOVERNOR,hampton,931139187,209603,Pacific Northwest College of Art
KOERNER NAN 1 00,X 0 0 0,GOVERNOR EMERITA,koerner,931139187,209603,Pacific Northwest College of Art
GOVERNOR EMERITA,KUROSAKI KURO 1 00,X 0 0 0,emerita,931139187,209603,Pacific Northwest College of Art
LAWRENCE SALLY 1 00,X 0 0 0,GOVERNOR EMERITA,lawrence,931139187,209603,Pacific Northwest College of Art
GOVERNOR EMERITA,MACY DOUG 1 00,X 0 0 0,emerita,931139187,209603,Pacific Northwest College of Art
MACY DOUG 1 00,X 0 0 0,GOVERNOR,macy,931139187,209603,Pacific Northwest College of Art
MCCOLLOUGH STEPHANIE 1 00,X 0 0 0,EX—OFFICIO STUDENT GOVERNO,mccollough,931139187,209603,Pacific Northwest College of Art
MILLS CASEY 1 00,X 0 0 0,GOVERNOR,mills,931139187,209603,Pacific Northwest College of Art
MOLNAR DANIELA 1 00,X 0 0 0,EX—OFFICIO FACULTY GOVERNO,molnar,931139187,209603,Pacific Northwest College of Art
PACKARD ROBERT 1 00,X 0 0 0,GOVERNOR,packard,931139187,209603,Pacific Northwest College of Art
SAVINAR DAVID 1 00,X 0 0 0,GOVERNOR,savinar,931139187,209603,Pacific Northwest College of Art
SHIPLEY JOHN 1 00,X 0 0 0,GOVERNOR EMERITUS,shipley,931139187,209603,Pacific Northwest College of Art
SMOLA—FOTI BRENDA 1 00,X 0 0 0,GOVERNOR,brenda,931139187,209603,Pacific Northwest College of Art
SOLHEIM AL 1 00,X 0 0 0,GOVERNOR,solheim,931139187,209603,Pacific Northwest College of Art
WYSS JUDITH 1 00,X 0 0 0,GOVERNOR EMERITA,wyss,931139187,209603,Pacific Northwest College of Art
GOVERNOR EMERITA,EDLEN ANN 2 00,X X 0 0 0,emerita,931139187,209603,Pacific Northwest College of Art
EDLEN ANN 2 00,X X 0 0 0,CHAIR,ann,931139187,209603,Pacific Northwest College of Art
WOOD ARIC 2 00,"X X 1,200 0 0",VICE CHAIR,wood,931139187,209603,Pacific Northwest College of Art
BORETZ CRAIG 2 00,X X 0 0 0,TREASURER,craig,931139187,209603,Pacific Northwest College of Art
MANLEY THOMAS 40 00,"X X 259,073 0 48,198",PRESIDENT,manley,931139187,209603,Pacific Northwest College of Art
ABBOTT SARAH 1 00,X 0 0 0,EX—OFFICIO STUDENT GOVERNO,abbott,931139187,209603,Pacific Northwest College of Art
HUDSPETH LARRY L 40 00,"x 125,832 0 6,794",CFO,hudspeth,931139187,209603,Pacific Northwest College of Art
TAKIGUCHI MARK J 40 00,"x 111,918 0 9,170",ACADEMIC DEAN,takiguchi,931139187,209603,Pacific Northwest College of Art
BUCK KAVIN 40 00,"x 115,333 0 9,640",VP OF ENROLLMENT,buck,931139187,209603,Pacific Northwest College of Art
HOPKINSON DEBORAH 40 00,"x 113,661 0 7,022",VP ADVANCEMENT,hopkinson,931139187,209603,Pacific Northwest College of Art
WARE GREG 40 00,"X 119,142 0 10,062",PROVOST,ware,931139187,209603,Pacific Northwest College of Art
