line1,line2,line3,key,fein,unitid,institutionname
(1) DR BETTY DEAN 1 00,X 0 0 0,TRUSTEE CHAIR,betty,941339635,123457,Simpson University
(2) REV R DOUGLAS SWINBURNE JR 1 00,X 0 0 0,TRUSTEE VICE CHAIR,douglas,941339635,123457,Simpson University
(3) MICHAEL FITZPATRICK 1 00,X 0 0 0,TRUSTEE SECRETARY,michael,941339635,123457,Simpson University
(4) ALAN BURCHETT 1 00,X 0 0 0,TRUSTEE,alan,941339635,123457,Simpson University
(5) REV DAVID CLARK 1 00,X 0 0 0,TRUSTEE,david,941339635,123457,Simpson University
(6) DR JO ANNE CRIPE 1 00,X 0 0 0,TRUSTEE,jo,941339635,123457,Simpson University
(7) KATHY EVANS 1 00,X 0 0 0,TRUSTEE,kathy,941339635,123457,Simpson University
(8) GARY FRIESEN 1 00,X 0 0 0,TRUSTEE,gary,941339635,123457,Simpson University
(9) RAYMOND HOMAN 1 00,X 0 0 0,TRUSTEE,raymond,941339635,123457,Simpson University
(10) JULIE IRVING 1 00,X 0 0 0,TRUSTEE,julie,941339635,123457,Simpson University
(11) HAROLD KIMBALL 1 00,X 0 0 0,TRUSTEE,harold,941339635,123457,Simpson University
(12) REV WILLIAM MALICK 1 00,X 0 0 0,TRUSTEE,william,941339635,123457,Simpson University
(13) MARK MATHESON 1 00,X 0 0 0,TRUSTEE,mark,941339635,123457,Simpson University
(14) DR THOMAS PERRY 1 00,X 0 0 0,TRUSTEE,thomas,941339635,123457,Simpson University
(15) DR JAMES POSTMA 1 00,X 0 0 0,TRUSTEE,james,941339635,123457,Simpson University
(16) DAVID PRESZLER 1 00,X 0 0 0,TRUSTEE,david,941339635,123457,Simpson University
(17) LINDA PROUTY 1 00,X 0 0 0,TRUSTEE,linda,941339635,123457,Simpson University
(18) DR RAYMOND REID 1 00,X 0 0 0,TRUSTEE,raymond,941339635,123457,Simpson University
(19) NORM REINHARDT 1 00,X 0 0 0,TRUSTEE,reinhardt,941339635,123457,Simpson University
(20) DAVID RICHEY 1 00,X 0 0 0,TRUSTEE,david,941339635,123457,Simpson University
(21) REV RANDY SHAW 1 00,X 0 0 0,TRUSTEE,randy,941339635,123457,Simpson University
(22) CHARLES RICHARD STAUB JR 1 00,X 0 0 0,TRUSTEE,charles,941339635,123457,Simpson University
(23) LUE THAO 1 00,X 0 0 0,TRUSTEE,lue,941339635,123457,Simpson University
(24) LARRY MCKINNEY 40 00,"x 169,446 0 6,966",CHIEF EXECUTIVE OFFICER,larry,941339635,123457,Simpson University
(25) DR ROBIN DUMMER 40 00,"X 156,813 0 15,488",CHIEF EXECUTIVE OFFICER,robin,941339635,123457,Simpson University
(26) BRADLEY WILLIAMS 40 00,"X 149,178 0 14,930",CHIEF FINANCIAL OFFICER,bradley,941339635,123457,Simpson University
(27) GORDON FLINN 40 00,"X 126,151 0 13,654",SECRETARY,gordon,941339635,123457,Simpson University
(28) HERBERT TOLBERT 40 00,"X 111,588 0 11,837",VP ENROLLMENT MANAGEMENT,herbert,941339635,123457,Simpson University
(29) RICHARD BROWN 40 00,"X 116,881 0 13,052",VP STUDENT DEVELOPMENT,richard,941339635,123457,Simpson University
