line1,line2,line3,key,fein,unitid,institutionname
Barry Corey 40 0,"X X 377,698 0 65,433",PreSIdent 0 0,barry,950549600,110097,Biola University
Bradley Cole 2 0,X 0 0 0,Trustee 0 0,bradley,950549600,110097,Biola University
DWIght Hanger 2 0,X 0 0 0,Trustee 0 0,dwight,950549600,110097,Biola University
Promod Hague 2 0,X 0 0 0,Trustee 0 0,hague,950549600,110097,Biola University
Carol Hawkins 2 0,X 0 0 0,Trustee 0 0,carol,950549600,110097,Biola University
Stanley Jantz 2 0,X 0 0 0,TRUSTEE 0 0,stanley,950549600,110097,Biola University
Ray Johnson 2 0,X 0 0 0,Trustee 0 0,ray,950549600,110097,Biola University
DaVId Karnes 2 0,X 0 0 0,Trustee 0 0,david,950549600,110097,Biola University
Allan Kavalich 2 0,X 0 0 0,Trustee 0 0,allan,950549600,110097,Biola University
Hannah Lee 2 0,X 0 0 0,Trustee 0 0,hannah,950549600,110097,Biola University
Bryan LorItts 2 0,X 0 0 0,Trustee 0 0,bryan,950549600,110097,Biola University
Wayne Lowell 2 0,X 0 0 0,Vice Chair 0 0,wayne,950549600,110097,Biola University
Michael Maples 2 0,X 0 0 0,Trustee 0 0,michael,950549600,110097,Biola University
Al MIJares 2 0,"X 33,737 0 0",Trustee 0 0,al,950549600,110097,Biola University
DaVId Mitchell 2 0,X 0 0 0,Trustee 0 0,david,950549600,110097,Biola University
Jerry Rueb 2 0,X 0 0 0,Trustee 0 0,jerry,950549600,110097,Biola University
John Siefker 2 0,X 0 0 0,Trustee 0 0,john,950549600,110097,Biola University
Kennith Thompson 2 0,X 0 0 0,Trustee 0 0,kennith,950549600,110097,Biola University
Rebecca Andrews 2 0,X 0 0 0,Trustee 0 0,rebecca,950549600,110097,Biola University
DaVId Gyertson 2 0,X 0 0 0,Trustee 0 0,david,950549600,110097,Biola University
Greg Balsano 40 0,"X 188,486 0 31,788",VP of UniverSIty SerVIces 0 0,greg,950549600,110097,Biola University
Christopher Grace 40 0,"X 183,699 0 94,933",VP Student Development 0 0,christopher,950549600,110097,Biola University
DaVId Koontz 40 0,"X 141,598 0 36,540",As5Istant Secretary 0 0,david,950549600,110097,Biola University
Adam Morris 40 0,"X 185,218 0 108,950",VP Advancement 0 0,adam,950549600,110097,Biola University
DaVId Nystrom 40 0,"X 221,500 0 35,488",Provost and Senior VP 0 0,david,950549600,110097,Biola University
Michael Pierce 40 0,"X 228,284 0 61,343","VP, Bus and Financial Affairs 0 0",michael,950549600,110097,Biola University
Gregory Vaughan 40 0,"X 171,310 0 32,315",VP Enrollment Management 0 0,gregory,950549600,110097,Biola University
Sandra Weaver 40 0,"X 140,357 0 19,737",As5Istant Secretary 0 0,sandra,950549600,110097,Biola University
Irene Neller 40 0,"x 118,849 0 8,355",VP UMC 0 0,irene,950549600,110097,Biola University
Brian Miller 40 0,"X 104,695 0 23,893","Interim VP, UCM 0 0",brian,950549600,110097,Biola University
Tamra Hocking 40 0,"X 159,252 0 50,677","PhySIcIan, Health Center 0 0",tamra,950549600,110097,Biola University
Jerry Mackey 24 0,"X 157,672 0 39,482",Corporate Legal 0 0,jerry,950549600,110097,Biola University
Scott Rae 40 0,"X 153,743 0 36,297",Professor 0 0,scott,950549600,110097,Biola University
Peter C HIll 40 0,"X 161,632 0 17,656",Professor 0 0,peter,950549600,110097,Biola University
Richard E Bee 40 0,"x 171,972 12,852",Sr Director Alumni and Parent 0 0,richard,950549600,110097,Biola University
