line1,line2,line3,key,fein,unitid,institutionname
Abbott L Brown 1 00,X 0 0 0,Trustee,abbott,951664101,112260,Claremont McKenna College
Akshata N Murty 1 00,X 0 0 0,Trustee,murty,951664101,112260,Claremont McKenna College
Arie Steven Crown 1 00,X 0 0 0,Trustee,arie,951664101,112260,Claremont McKenna College
Barton Evans 1 00,X 0 0 0,Trustee,barton,951664101,112260,Claremont McKenna College
Bruce Soll 1 00,X 0 0 0,Trustee,bruce,951664101,112260,Claremont McKenna College
Carolyn H Kuhl 1 00,X 0 0 0,Trustee,carolyn,951664101,112260,Claremont McKenna College
Christine H Mann 1 00,X 0 0 0,Trustee,christine,951664101,112260,Claremont McKenna College
Christopher V Walker 1 00,X 0 0 0,Trustee,christopher,951664101,112260,Claremont McKenna College
DaVId Drier 1 00,X 0 0 0,Trustee,david,951664101,112260,Claremont McKenna College
DaVId G Mgrublian 1 00,X 0 0 0,Trustee,david,951664101,112260,Claremont McKenna College
Douglas L Peterson 1 00,X 0 0 0,Trustee,douglas,951664101,112260,Claremont McKenna College
E DaVId Hetz 1 00,X X 0 0 0,Vice Chair of the Board,david,951664101,112260,Claremont McKenna College
Fredric] Prager 1 00,X 0 0 0,Trustee,prager,951664101,112260,Claremont McKenna College
G Jeffrey Records Jr 1 00,X 0 0 0,Trustee,jeffrey,951664101,112260,Claremont McKenna College
George R Roberts 1 00,X 0 0 0,Trustee,george,951664101,112260,Claremont McKenna College
Gregory Hinckley 1 00,X 0 0 0,Trustee,gregory,951664101,112260,Claremont McKenna College
Harry T McMahon 1 00,X X 0 0 0,Chair of the Board 1 00,harry,951664101,112260,Claremont McKenna College
Henry R KraVIs 1 00,X 0 0 0,Trustee,henry,951664101,112260,Claremont McKenna College
Hiram Chodosh 40 00,"X X 234,852 0 81,830",PreSIdent 3 00,hiram,951664101,112260,Claremont McKenna College
James B Bemowski 1 00,X 0 0 0,Trustee,james,951664101,112260,Claremont McKenna College
James B McElwee 1 00,X 0 0 0,Trustee,james,951664101,112260,Claremont McKenna College
Jeffrey S Klein 1 00,X 0 0 0,Trustee,jeffrey,951664101,112260,Claremont McKenna College
Jill Mullen 1 00,X 0 0 0,Trustee,jill,951664101,112260,Claremont McKenna College
John C Pritzlaff III 1 00,X 0 0 0,Trustee,john,951664101,112260,Claremont McKenna College
John Isaacson 1 00,X 0 0 0,Trustee,john,951664101,112260,Claremont McKenna College
John McDowell 1 00,X 0 0 0,Trustee,john,951664101,112260,Claremont McKenna College
Julie Sweet 1 00,X 0 0 0,Trustee,julie,951664101,112260,Claremont McKenna College
Karl M Schade 1 00,X 0 0 0,Trustee,karl,951664101,112260,Claremont McKenna College
Kenneth J Valach 1 00,X 0 0 0,Trustee,kenneth,951664101,112260,Claremont McKenna College
Kenneth M Novack 1 00,X 0 0 0,Trustee,kenneth,951664101,112260,Claremont McKenna College
Laura Grisolano 1 00,X 0 0 0,Trustee,laura,951664101,112260,Claremont McKenna College
Michael Larson 1 00,X 0 0 0,Trustee,michael,951664101,112260,Claremont McKenna College
Nancy K Falk 1 00,X 0 0 0,Trustee,nancy,951664101,112260,Claremont McKenna College
Perry A Lerner 1 00,X 0 0 0,Trustee,perry,951664101,112260,Claremont McKenna College
Peter K Barker 1 00,X X 0 0 0,Vice Chair of the Board,peter,951664101,112260,Claremont McKenna College
Rey Ramsey 1 00,X 0 0 0,Trustee,rey,951664101,112260,Claremont McKenna College
Robert A Day 1 00,X X 0 0 0,Vice Chair of the Board,robert,951664101,112260,Claremont McKenna College
Robert C Nakasone 1 00,X 0 0 0,Trustee,robert,951664101,112260,Claremont McKenna College
RobertJ Lowe 1 00,X X 0 0 0,Vice Chair of the Board,lowe,951664101,112260,Claremont McKenna College
ROSSI Russell 1 00,"X 6,440 0 0",Trustee,rossi,951664101,112260,Claremont McKenna College
Shaw B Wagener 1 00,X 0 0 0,Trustee,shaw,951664101,112260,Claremont McKenna College
Steven L Eggert 1 00,X 0 0 0,Trustee,steven,951664101,112260,Claremont McKenna College
Thomas B Neff 1 00,X 0 0 0,Trustee,thomas,951664101,112260,Claremont McKenna College
Thomas C Leppert 1 00,X 0 0 0,Trustee,thomas,951664101,112260,Claremont McKenna College
Thomas M Mitchell 1 00,X 0 0 0,Trustee,thomas,951664101,112260,Claremont McKenna College
William F Podlich 1 00,X 0 0 0,Trustee,william,951664101,112260,Claremont McKenna College
Matthew Bibbens 40 00,"X 213,454 0 54,476","VP, Admin & Plan, Gen, Coun, Sec of the College 1 00",matthew,951664101,112260,Claremont McKenna College
Mia Alonzo 4 00,"X 0 117,397 25,837",Controller 20 00,mia,951664101,112260,Claremont McKenna College
Robin Aspinall 40 00,"X 272,998 0 46,810","VP, Busmess & Administration/Tresurer 1 00",robin,951664101,112260,Claremont McKenna College
Ernest Iseminger 40 00,"X 340,907 0 43,142",VP for Development and External Relations,ernest,951664101,112260,Claremont McKenna College
James Floyd 40 00,"X 257,700 0 26,592",VP and Chief Investment Officer,james,951664101,112260,Claremont McKenna College
Jefferson Huang 40 00,"X 223,863 0 41,587","VP for Stu Aff, Adm, and Fin Aid",jefferson,951664101,112260,Claremont McKenna College
John Faranda 40 00,"X 188,172 0 33,577","VP, Alumni and Parent Relations",john,951664101,112260,Claremont McKenna College
"VP, Alumni and Parent Relations",Nicholas Warner 40 00,"X 174,334 0 27,122",parent,951664101,112260,Claremont McKenna College
Nicholas Warner 40 00,"X 174,334 0 27,122",Interim VP Acad Affairs & Dean of Faculty,nicholas,951664101,112260,Claremont McKenna College
Eric Hughson 40 00,"X 316,058 0 42,947",Facuky,eric,951664101,112260,Claremont McKenna College
Janet Smith 40 00,"X 272,696 0 39,068",Facuky,janet,951664101,112260,Claremont McKenna College
Lisa Meulbroek 40 00,"X 328,650 0 29,302",Facuky,lisa,951664101,112260,Claremont McKenna College
Pamela Gann 40 00,"X 511,373 0 57,588",Facuky,pamela,951664101,112260,Claremont McKenna College
Stephen Blomberg 40 00,"X 294,917 0 64,681",Facuky,stephen,951664101,112260,Claremont McKenna College
Gregory Hess 40 00,"X 186,593 0 34,353",Former VP Acad Aff & Dean of Fac,gregory,951664101,112260,Claremont McKenna College
