line1,line2,line3,key,fein,unitid,institutionname
(1) Dorothy Farris 2 00,X 0 0 0,Board Chair (Departed 05/14) 4 00,dorothy,951716809,120768,Pacific Oaks College
(2) Olin Barrett 2 00,X 0 0 0,Trustee 0 00,olin,951716809,120768,Pacific Oaks College
(3) Judy Chirlin 2 00,X 0 0 0,Trustee 0 00,judy,951716809,120768,Pacific Oaks College
(4) Albert Morell 2 00,X 0 0 0,Trustee 0 00,albert,951716809,120768,Pacific Oaks College
(5) Tenny Mickey 2 00,X 0 0 0,Trustee 0 00,tenny,951716809,120768,Pacific Oaks College
(6) Dean Chung 2 00,X 0 0 0,Trustee 2 00,chung,951716809,120768,Pacific Oaks College
(7) Terrence Layng 2 00,X 0 0 0,Trustee 4 00,terrence,951716809,120768,Pacific Oaks College
(8) Mary Pattiz 2 00,X 0 0 0,Vice Chair 6 00,mary,951716809,120768,Pacific Oaks College
(9) Devy Schonfeld 2 00,X 0 0 0,Trustee 0 00,schonfeld,951716809,120768,Pacific Oaks College
(10) Mary Tudela 2 00,X 0 0 0,Trustee 6 00,mary,951716809,120768,Pacific Oaks College
(11) Michael HorOWItz 2 00,"X X 0 942,542 228,505",Trustee/Corporate PreSIdent 38 00,michael,951716809,120768,Pacific Oaks College
(13) Jennifer DeMay 2 00,"X 0 223,260 30,360",Corporate Secretary 38 00,jennifer,951716809,120768,Pacific Oaks College
(14) LaKeisha Marsh 2 00,"X 0 133,816 14,706",ASSIStant Corporate Secretary 38 00,lakeisha,951716809,120768,Pacific Oaks College
(15) Shari Mikos 2 00,"X 0 108,296 13,552",ASSIStant Corporate Secretary 38 00,shari,951716809,120768,Pacific Oaks College
(16) Glenn Renzulli 2 00,"X 0 274,090 19,906",Corporate Treasurer 38 00,glenn,951716809,120768,Pacific Oaks College
(17) Patricia Breen 30 00,"x 54,269 272,118 58,766",Provost 10 00,patricia,951716809,120768,Pacific Oaks College
(18) Crystal Czubernat 40 00,"X 140,012 0 14,402",AVP Admi55ions 0 00,crystal,951716809,120768,Pacific Oaks College
(19) Franklin Frias 40 00,"X 111,001 0 13,041",Associate Vice PreSIdent 0 00,franklin,951716809,120768,Pacific Oaks College
(20) Ellie Kaucher — Vice PreSIdent 40 00,"x 143,834 0 3,313",of Academic Development 0 00,ellie,951716809,120768,Pacific Oaks College
(21) Jane Rosenberg — Executive Dir 40 00,"x 109,233 0 9,155",Of Childrens School (Departed 06/13) 0 00,jane,951716809,120768,Pacific Oaks College
(22) Kerry Neal — Regional 0 00,"X 135,410 0 13,414",Vice PreSIdent (Departed 05/13) 0 00,kerry,951716809,120768,Pacific Oaks College
