line1,line2,line3,key,fein,unitid,institutionname
Peggy Campbell 1 00,X X 0 0 0,ChaIr 1 00,peggy,951744369,109785,Azusa Pacific University
Thomas MIIIer 1 00,X X 0 0 0,VIce ChaIr,thomas,951744369,109785,Azusa Pacific University
DaVId Poole 1 00,X X 0 0 0,Secretary,david,951744369,109785,Azusa Pacific University
Dr Jon R Wallace 40 00,"X X 299,528 0 60,419",PreSIdent & Trustee 1 00,jon,951744369,109785,Azusa Pacific University
Larry Acosta 1 00,X 0 0 0,Trustee,larry,951744369,109785,Azusa Pacific University
Tom AlkaZIn 1 00,X 0 0 0,Trustee,tom,951744369,109785,Azusa Pacific University
CraIg Cheek 1 00,X 0 0 0,Trustee,craig,951744369,109785,Azusa Pacific University
Evan CoIIIns 1 00,X 0 0 0,Trustee,evan,951744369,109785,Azusa Pacific University
Robyn DIllon 1 00,X 0 0 0,Trustee,robyn,951744369,109785,Azusa Pacific University
Dan Fachner 1 00,X 0 0 0,Trustee,dan,951744369,109785,Azusa Pacific University
BIll Hooper 1 00,X 0 0 0,Trustee,bill,951744369,109785,Azusa Pacific University
MIke Ingram 1 00,X 0 0 0,Trustee,mike,951744369,109785,Azusa Pacific University
Ray W Johnston 1 00,X 0 0 0,Trustee 1 00,ray,951744369,109785,Azusa Pacific University
DaVId C Le Shana Phd 1 00,X 0 0 0,Trustee,david,951744369,109785,Azusa Pacific University
MIchael D LIzarraga 1 00,X 0 0 0,Trustee 1 00,michael,951744369,109785,Azusa Pacific University
ElIzabeth MarIng 1 00,X 0 0 0,Trustee,elizabeth,951744369,109785,Azusa Pacific University
Don Marshburn 1 00,X 0 0 0,Trustee,don,951744369,109785,Azusa Pacific University
Marc McBrIde 1 00,X 0 0 0,Trustee,marc,951744369,109785,Azusa Pacific University
JeannIe Pascale 1 00,X 0 0 0,Trustee,jeannie,951744369,109785,Azusa Pacific University
Steve Perry 1 00,X 0 0 0,Trustee,steve,951744369,109785,Azusa Pacific University
Earl R Schamehorn 1 00,X 0 0 0,Trustee,earl,951744369,109785,Azusa Pacific University
Sally Segerstrom 1 00,X 0 0 0,Trustee,sally,951744369,109785,Azusa Pacific University
Ava SIwek 1 00,X 0 0 0,Trustee,ava,951744369,109785,Azusa Pacific University
TIm StrIpe 1 00,X 0 0 0,Trustee,tim,951744369,109785,Azusa Pacific University
Paul Szeto 1 00,X 0 0 0,Trustee,paul,951744369,109785,Azusa Pacific University
Albert Tate 1 00,X 0 0 0,Trustee,albert,951744369,109785,Azusa Pacific University
Dr John VolmInk 1 00,X 0 0 0,Trustee,john,951744369,109785,Azusa Pacific University
RaleIgh WashIngton 1 00,X 0 0 0,Trustee,raleigh,951744369,109785,Azusa Pacific University
Dr NIck thantIdes 1 00,X 0 0 0,Trustee,nick,951744369,109785,Azusa Pacific University
Dr DaVId Bbey 40 00,"X 263,143 0 34,759",Exec VP Advancement,david,951744369,109785,Azusa Pacific University
John C Reynolds 1 00,"X 254,644 0 78,939",Exec VP AdmInIstratIon 40 00,john,951744369,109785,Azusa Pacific University
Mark S DIckerson 40 00,"X 204,505 0 28,341",VP Legal & Comm Affr 1 00,mark,951744369,109785,Azusa Pacific University
Robert LJohansen 40 00,"X 170,220 0 71,944",SVP & CFO 1 00,robert,951744369,109785,Azusa Pacific University
Terry A Franson 40 00,"X 183,235 0 32,712",Sr VP Student LIfe,terry,951744369,109785,Azusa Pacific University
Dr Mark Stanton 40 00,"X 146,933 0 120,923",Provost 1 00,mark,951744369,109785,Azusa Pacific University
Stephen Grey 1 00,"X 157,291 0 24,245",Exec DIrector of FInance 40 00,stephen,951744369,109785,Azusa Pacific University
DaVId DuFault—Hunter 40 00,"x 133,619 0 2,500",VP Enrollment Mgmt,david,951744369,109785,Azusa Pacific University
Dr Fred Garlett 40 00,"X 176,727 0 21,471",Dean Of APS,fred,951744369,109785,Azusa Pacific University
Dr AJa Lesh 40 00,"X 168,469 0 26,757",Dean— School Of Nursmg,aja,951744369,109785,Azusa Pacific University
Dr DaVId Weeks 40 00,"X 161,509 0 65,995",Dean—Col Of LIb Arts&SCI,david,951744369,109785,Azusa Pacific University
AnIta FItzgerald Henck 40 00,"X 166,237 0 21,249",Dean — School of EducatIon,anita,951744369,109785,Azusa Pacific University
Robert K Welsh 40 00,"X 155,886 0 24,719",Dean of BAS,robert,951744369,109785,Azusa Pacific University
Dean of BAS,Dr DIane GUIdO 40 00,"X 142,424 0 36,538",bas,951744369,109785,Azusa Pacific University
Dr DIane GUIdO 40 00,"X 142,424 0 36,538",VIce Provost — Grad,diane,951744369,109785,Azusa Pacific University
Dr Todd Emerson 40 00,"X 146,785 0 30,745",MedIcal DIrector,todd,951744369,109785,Azusa Pacific University
Paul Gray 40 00,"X 168,026 0 28,770",Dean of LIbrarIes,paul,951744369,109785,Azusa Pacific University
Dr John M Thornton 40 00,"X 167,114 0 57,647",ChaIr — School of AccountIng,john,951744369,109785,Azusa Pacific University
Donald DaVIs 40 00,"X 129,189 0 27,342",VIce PreSIdent/CIO,donald,951744369,109785,Azusa Pacific University
