line1,line2,line3,key,fein,unitid,institutionname
(1) Winters Tim 50,X X 0 0 0,Board of Trustees Member/Chairman,winters,951916051,120537,Hope International University
(2) Lukas Richard 50,X X 0 0 0,Board of Trustees Member/Secretary,lukas,951916051,120537,Hope International University
(3) Apple Gene 50,X 0 0 0,Board of Trustees Member,apple,951916051,120537,Hope International University
(4) Carpenter Glenn 50,X 0 0 0,Board of Trustees Member,carpenter,951916051,120537,Hope International University
(6) Clement Ken 50,X 0 0 0,Board of Trustees Member,clement,951916051,120537,Hope International University
(7) DaVIs Richard 50,X 0 0 0,Board of Trustees Member,davis,951916051,120537,Hope International University
(8) Farley Gray 50,X 0 0 0,Board of Trustees Member,farley,951916051,120537,Hope International University
(9) Jernigan Calvm 50,X 0 0 0,Board of Trustees Member,jernigan,951916051,120537,Hope International University
(10) Jessup Graydon 50,X 0 0 0,Board of Trustees Member,jessup,951916051,120537,Hope International University
(11) Kuns Julie 50,X 0 0 0,Board of Trustees Member,kuns,951916051,120537,Hope International University
(12) Odor Kevm 50,X 0 0 0,Board of Trustees Member,odor,951916051,120537,Hope International University
(13) Puckett Charles 50,X 0 0 0,Board of Trustees Member,puckett,951916051,120537,Hope International University
(14) Shrader Laretta 50,X 0 0 0,Board of Trustees Member,shrader,951916051,120537,Hope International University
(15) Taylor James 50,X 0 0 0,Board of Trustees Member,taylor,951916051,120537,Hope International University
(16) Templeton Bruce 50,X 0 0 0,Board of Trustees Member,templeton,951916051,120537,Hope International University
(17) Yurek Thaddeus 50,X 0 0 0,Board of Trustees Member,yurek,951916051,120537,Hope International University
(18) Derry John 40 00,"X 153,594 118,902",PreSIdent,derry,951916051,120537,Hope International University
(19) Scotti Frank 40 00,"x 150,870 31,387",VP for Busmess & Finance,scotti,951916051,120537,Hope International University
(20) Alexander Paul 40 00,"x 106,071 65,277",VP for Academic Affairs,alexander,951916051,120537,Hope International University
(21) Mulryan Michael 40 00,"x 136,442 14,420",VP for Institutional Adv,mulryan,951916051,120537,Hope International University
"Southern California Edison PO Box 300 Rosemead CA 91771 Electricity 496,345","PS Busmess Parks PO Box 849408 Los Angeles CA 90084 Office Space Rent 318,977","Paynes Janitorial SerVIces 303 Glenrose Avenue NashVIlle TN 37210 Janitorial SerVIces 272,897",southern,951916051,120537,Hope International University
"PS Busmess Parks PO Box 849408 Los Angeles CA 90084 Office Space Rent 318,977","Paynes Janitorial SerVIces 303 Glenrose Avenue NashVIlle TN 37210 Janitorial SerVIces 272,897","Online Learning SerVIces 230,060",parks,951916051,120537,Hope International University
