line1,line2,line3,key,fein,unitid,institutionname
JONATHAN BURKE 37 50,"X X 218,731 0 32,725",PRESIDENT,jonathan,952415066,117168,Laguna College of Art and Design
PATRICIA O'BRIEN 0 00,X 0 0 0,CHAIR,patricia,952415066,117168,Laguna College of Art and Design
RON HOLECEK 0 00,X 0 0 0,VICE CHAIR,ron,952415066,117168,Laguna College of Art and Design
LISA DALLENDORFER 0 00,X 0 0 0,SECRETARY,lisa,952415066,117168,Laguna College of Art and Design
NANCY MILBY 0 00,X 0 0 0,TREASURER,nancy,952415066,117168,Laguna College of Art and Design
TED BAXTER 0 00,X 0 0 0,TRUSTEE,ted,952415066,117168,Laguna College of Art and Design
NANCY BEVERAGE 0 00,X 0 0 0,TRUSTEE,nancy,952415066,117168,Laguna College of Art and Design
NANCY BUSHNELL 0 00,X 0 0 0,TRUSTEE,nancy,952415066,117168,Laguna College of Art and Design
SUZANNE CHONEITE 0 00,X 0 0 0,TRUSTEE,suzanne,952415066,117168,Laguna College of Art and Design
BARBARA CLARENCE 0 00,X 0 0 0,TRUSTEE,barbara,952415066,117168,Laguna College of Art and Design
NELSON COATEs 0 00,X 0 0 0,TRUSTEE,nelson,952415066,117168,Laguna College of Art and Design
MARSHALL EICHENAUER JR 0 00,X 0 0 0,TRUSTEE,marshall,952415066,117168,Laguna College of Art and Design
STEVE GROMET 0 00,X 0 0 0,TRUSTEE,steve,952415066,117168,Laguna College of Art and Design
JOHN GUNNIN 0 00,X 0 0 0,TRUSTEE,john,952415066,117168,Laguna College of Art and Design
TERRY JONES 0 00,X 0 0 0,TRUSTEE,terry,952415066,117168,Laguna College of Art and Design
NANCY LAWRENCE 0 00,X 0 0 0,TRUSTEE,nancy,952415066,117168,Laguna College of Art and Design
BONNIE LIVINGSTON 0 00,X 0 0 0,TRUSTEE,bonnie,952415066,117168,Laguna College of Art and Design
ILONA MARTIN 0 00,X 0 0 0,TRUSTEE,ilona,952415066,117168,Laguna College of Art and Design
JARED MATHIs 0 00,X 0 0 0,TRUSTEE,jared,952415066,117168,Laguna College of Art and Design
JAMES MCQUEEN 0 00,X 0 0 0,TRUSTEE,james,952415066,117168,Laguna College of Art and Design
JAMES MELLOR 0 00,X 0 0 0,TRUSTEE,james,952415066,117168,Laguna College of Art and Design
SUZANNE MELLOR 0 00,X 0 0 0,TRUSTEE,suzanne,952415066,117168,Laguna College of Art and Design
HORST NOPPENBERGER 0 00,X 0 0 0,TRUSTEE,horst,952415066,117168,Laguna College of Art and Design
LAURA ROHL 0 00,X 0 0 0,TRUSTEE,laura,952415066,117168,Laguna College of Art and Design
RICHARD SCHWARZSTEIN 0 00,X 0 0 0,TRUSTEE,richard,952415066,117168,Laguna College of Art and Design
IGAL SILBER 0 00,X 0 0,TRUSTEE,igal,952415066,117168,Laguna College of Art and Design
JACK SMART 0 00,X 0 0,TRUSTEE,jack,952415066,117168,Laguna College of Art and Design
TERRY SMITH 0 00,X 0 0,TRUSTEE,terry,952415066,117168,Laguna College of Art and Design
GERARD STRIPLING 0 00,X 0 0,TRUSTEE,gerard,952415066,117168,Laguna College of Art and Design
JAMES GODEK 37 50,"x 119,575 33,664",CFO,james,952415066,117168,Laguna College of Art and Design
HELENE GARRISON 37 50,"x 125,133 7,022",VP OF ACADEMIC AFFAIRS,helene,952415066,117168,Laguna College of Art and Design
CHRISTOPHER BROWN 37 50,"x 112,507 16,269",DIRECTOR OF ADMISSIONS & FINANCIAL AID,christopher,952415066,117168,Laguna College of Art and Design
