line1,line2,line3,key,fein,unitid,institutionname
AustIn M Beutner 1 00,X 0 0 0,ChaInnan of the Board,austin,956102146,111081,California Institute of the Arts
Joan Abrahamson 1 00,X 0 0 0,Trustee,joan,956102146,111081,California Institute of the Arts
AIleen Adams 1 00,X 0 0 0,Trustee,aileen,956102146,111081,California Institute of the Arts
Alan Bergman 1 00,X 0 0 0,Trustee,alan,956102146,111081,California Institute of the Arts
DaVId A Bossert 1 00,X 0 0 0,Trustee,david,956102146,111081,California Institute of the Arts
Don Cheadle 1 00,X 0 0 0,Trustee,don,956102146,111081,California Institute of the Arts
Joseph M Cohen 1 00,X 0 0 0,Trustee,joseph,956102146,111081,California Institute of the Arts
Robert] DenIson 1 00,X 0 0 0,Trustee,denison,956102146,111081,California Institute of the Arts
TIm DIsney 1 00,X 0 0 0,Trustee,tim,956102146,111081,California Institute of the Arts
MelIssa P Draper 1 00,X 0 0 0,Trustee,melissa,956102146,111081,California Institute of the Arts
MIchael D EIsner 1 00,X 0 0 0,Trustee,michael,956102146,111081,California Institute of the Arts
DaVId IFIsher 1 00,X 0 0 0,Trustee,david,956102146,111081,California Institute of the Arts
Rod rIgo GarCIa 1 00,X 0 0 0,Trustee,rod,956102146,111081,California Institute of the Arts
HarrIett F Gold 1 00,X 0 0 0,Trustee,harriett,956102146,111081,California Institute of the Arts
RIchard J Grad 1 00,X 0 0 0,Trustee,richard,956102146,111081,California Institute of the Arts
ChannaIne Jefferson 1 00,X 0 0 0,Trustee,jefferson,956102146,111081,California Institute of the Arts
Marta Kauffman 1 00,X 0 0 0,Trustee,marta,956102146,111081,California Institute of the Arts
JIll G Kraus 1 00,X 0 0 0,Trustee,jill,956102146,111081,California Institute of the Arts
Nahum LaIner 1 00,X 0 0 0,Trustee,nahum,956102146,111081,California Institute of the Arts
Thomas L Lee 1 00,X 0 0 0,Trustee,thomas,956102146,111081,California Institute of the Arts
Thomas Lloyd 1 00,X 0 0 0,Trustee,thomas,956102146,111081,California Institute of the Arts
James B Lovelace 1 00,X 0 0 0,Trustee,james,956102146,111081,California Institute of the Arts
MIchelle Lund 1 00,X 0 0 0,Trustee,michelle,956102146,111081,California Institute of the Arts
JamIe Alter Lynton 1 00,X 0 0 0,Trustee,jamie,956102146,111081,California Institute of the Arts
MIchael Nock 1 00,X 0 0 0,Trustee,michael,956102146,111081,California Institute of the Arts
Janet DreIsen Rappaport 1 00,X 0 0 0,Trustee,janet,956102146,111081,California Institute of the Arts
Tom Rothman 1 00,X 0 0 0,Trustee,tom,956102146,111081,California Institute of the Arts
AracelI Ruano 1 00,X 0 0 0,Trustee,araceli,956102146,111081,California Institute of the Arts
DaVId L SchIff 1 00,X 0 0 0,Trustee,david,956102146,111081,California Institute of the Arts
MalIssa Feru22I ShrIver 1 00,X 0 0 0,Trustee,malissa,956102146,111081,California Institute of the Arts
Thomas E Untennan 1 00,X 0 0 0,Trustee,thomas,956102146,111081,California Institute of the Arts
Roger Wacker 1 00,X X 0 0 0,Trustee,roger,956102146,111081,California Institute of the Arts
EllIot D Webb 1 00,X 0 0 0,Trustee,elliot,956102146,111081,California Institute of the Arts
Luanne C Wells 1 00,X 0 0 0,Trustee,luanne,956102146,111081,California Institute of the Arts
DenIta WIlloughby 1 00,X 0 0 0,Trustee,denita,956102146,111081,California Institute of the Arts
LeslIe McMorrow 1 00,X 0 0 0,Trustee,leslie,956102146,111081,California Institute of the Arts
Joan BInder Shwarts 1 00,X 0 0 0,Trustee,joan,956102146,111081,California Institute of the Arts
Steven D LaVIne 50 00,"X X 380,024 0 138,953",PreSIdent,steven,956102146,111081,California Institute of the Arts
Alfredo MIranda 1 00,X 0 0 0,Trustee,alfredo,956102146,111081,California Institute of the Arts
Thom Andersen 1 00,X 0 0 0,Trustee,thom,956102146,111081,California Institute of the Arts
Zachary DaVIdson 1 00,X 0 0 0,Trustee,zachary,956102146,111081,California Institute of the Arts
Donald J Matthewson 50 00,"x 226,737 0 5,262","VIce PreSIdent, ChIef FInanCIal OffIcer",donald,956102146,111081,California Institute of the Arts
MIchael Carter 50 00,"X 213,657 0 28,467","VIce PreSIdent, ChIef OperatIng OffIcer",michael,956102146,111081,California Institute of the Arts
Blanca Roberts 50 00,"X 192,316 0 10,369","Secretary, V P and ChIef Advancement OffIcer",blanca,956102146,111081,California Institute of the Arts
Karla Talavera 50 00,"X 151,693 0 19,344",Assoaate VIce PreSIdent and Controller,karla,956102146,111081,California Institute of the Arts
PatrICIa Johnson 50 00,"x 85,474 0 20,137",ASSIstant Secretary,patricia,956102146,111081,California Institute of the Arts
DaVId Rosenboom 50 00,"X 172,348 0 21,512","Dean, School of MUSIC",david,956102146,111081,California Institute of the Arts
"Dean, School of MUSIC",Thomas Lawson 50 00,"X 156,714 0 20,401",music,956102146,111081,California Institute of the Arts
Thomas Lawson 50 00,"X 156,714 0 20,401","Dean, School of Art",thomas,956102146,111081,California Institute of the Arts
TraVIs Preston 50 00,"X 159,928 0 20,860","Dean, School of Theater",travis,956102146,111081,California Institute of the Arts
Audrey Tanner 50 00,"X 146,269 0 14,575",Assoc Provost of Enrollment Management,audrey,956102146,111081,California Institute of the Arts
Stephan KopIOWItz 50 00,"X 143,727 0 10,369","Dean, School of Dance",stephan,956102146,111081,California Institute of the Arts
