line1,line2,line3,key
"hours per more than one box, unless compensation compensation of other",week (list person is both an officer from the from related compensation,any hours and a director/trustee) organization (W- organizations (W- from the,other
week (list person is both an officer from the from related compensation,any hours and a director/trustee) organization (W- organizations (W- from the,"for related 5, 3 _ g I m I _n 2/1099-MISC) 2/1099-MISC) organization and",an
ROBERT A BROWN 55 0,"X X 930,409 0 532,785",PRESIDENT 1 0,robert
STEPHEN M BRADY 55 0,"X 136,364 0 31,468",TRUSTEE (AS OF 6/01/14) & PROF,stephen
KATHERYN PFISTERER DARR 55 0,"X 129,326 0 16,494",TRUSTEE (UNTIL 5/30/14) & PROF,katheryn
ROBERT A KNOX 3 0,X,CHAIRMAN,robert
JOHN P HOWE III 3 0,X,VICE CHAIRMAN,john
J KENNETH MENGES JR 3 0,X,VICE CHAIRMAN,kenneth
RICHARD D COHEN 3 0,X,TRUSTEE,richard
JONATHAN R COLE 3 0,X,TRUSTEE,jonathan
DAVID F D'ALESSANDRO 3 0,X,TRUSTEE,david
RICHARD B DEWOLFE 3 0,X,TRUSTEE UNTIL 09/19/2013,richard
KENNETH J FELD 3 0,X,TRUSTEE,kenneth
SIDNEY J FELTENSTEIN 3 0,X,TRUSTEE,sidney
RYAN K ROTH GALLO 3 0,X,TRUSTEE AS OF 09/19/2013,ryan
RONALD G GARRIQUES 3 0,X,TRUSTEE,ronald
RICHARD C GODFREY 3 0,X,TRUSTEE,richard
BAHAA R HARIRI 3 0,X,TRUSTEE,hariri
ROBERTJ HILDRETH 3 0,X,TRUSTEE,hildreth
STEPHEN R KARP 3 0,X,TRUSTEE,stephen
CLEVE L KILLINGSWORTH JR 3 0,X,TRUSTEE,cleve
ELAINE B KIRSHENBAUM 3 0,X,TRUSTEE,elaine
ANDREW R LACK 3 0,X,TRUSTEE,andrew
"hours per more than one box, unless compensatlon compensatlon of other",week (Ilst person IS both an ofﬁcer from the from related compensatlon,any hours and a dIrector/trustee) organlzatlon (W- organlzatlons (W- from the,other
week (Ilst person IS both an ofﬁcer from the from related compensatlon,any hours and a dIrector/trustee) organlzatlon (W- organlzatlons (W- from the,"for related 0 3 _ g I ,D I _n 2/1099-MISC) 2/1099-MISC) organlzatlon and",an
ERIC S LANDER 3 0,X,TRUSTEE UNTIL 09/19/2013,eric
ALAN M LEVENTHAL 3 0,X,TRUSTEE,alan
PETER J LEVINE 3 0,X,TRUSTEE AS OF 09/19/2013,peter
CARLA E MEYER 3 0,X,TRUSTEE,carla
JORGE MORAN 3 0,X,TRUSTEE AS OF 09/19/2013,jorge
ALICIA C MULLEN 3 0,X,TRUSTEE,alicia
PETER T PAUL 3 0,X,TRUSTEE,peter
CA LANCE PICCOLO 3 0,X,TRUSTEE,lance
STUART W PRATT 3 0,X,TRUSTEE,stuart
ALLEN QUESTROM 3 0,X,TRUSTEE,allen
RICHARD D REIDY 3 0,X,TRUSTEE,richard
SHARON G RYAN 3 0,X,TRUSTEE,sharon
RICHARD C SHIPLEY 3 0,X,TRUSTEE,richard
HUGO X SHONG 3 0,X,TRUSTEE,hugo
BIPPY M SIEGAL 3 0,X,TRUSTEE,siegal
NINA C TASSLER 3 0,X,TRUSTEE,nina
ANDREA LTAYLOR 3 0,X,TRUSTEE,andrea
STEPHEN M ZIDE 3 0,X,TRUSTEE,stephen
MARTIN J HOWARD 55 0,"X 444,243 0 58,564","SR VP, CFO, & TREASURER 1 0",martin
TODD LC KLIPP 55 0,"X 604,444 0 61,367","SR VP, SR COUNSEL, & SECRETARY",todd
JEAN MORRISON 55 0,"X 588,665 0 194,564",UNIVERSlTY PROVOST,jean
KAREN H ANTMAN 55 0,"X 737,406 0 34,802",MEDICAL CAMPUS PROVOST 3 0,karen
MEDICAL CAMPUS PROVOST 3 0,GARY W NICKSA 55 0,"X 430,462 0 62,172",campus
GARY W NICKSA 55 0,"X 430,462 0 62,172",SR VP FOR OPERATIONS 2 0,gary
JEFFREY SPIEGEL,"x 0 1,906,220 401,905",PROFESSOR & PHYSICIAN 55 0,jeffrey
TONY TANNOURY,"x 0 1,429,069 54,413",PROFESSOR & PHYSICIAN 55 0,tony
PROFESSOR & ORAL SURGEON,CLARISSA HUNNEWELL 55 0,"X 940,962 0 34,763",surgeon
CLARISSA HUNNEWELL 55 0,"X 940,962 0 34,763",CHIEF INVESTMENT OFFICER,clarissa
WILLIAM CREEW,"X 0 901,773 59,513",PROFESSOR & PHYSICIAN 54 0,william
JOSEPH P MERCURIO 0 0,"X 818,864 0 26,281",EXECUTIVE VP (RETIRED) 0 0,joseph
DAVID CAMPBELL 40 0,"X 423,944 0 59,498",FORMER PROVOST,david
