line1,line2,line3,key
"c Total from continuation sheets to Part VII, Section A F""","Total (add lines 1b and 1c) I"" 32737.007 6,634,282",2 Total number of indiViduaIS (including but not limited to those listed above) who received more than,sheets
"Total (add lines 1b and 1c) I"" 32737.007 6,634,282",2 Total number of indiViduaIS (including but not limited to those listed above) who received more than,"$100,000 of reportable compensation from the organizationhI-4,631",lines
2 Total number of indiViduaIS (including but not limited to those listed above) who received more than,"$100,000 of reportable compensation from the organizationhI-4,631",Yes No,number
"3 Did the organization list any former officer, director ortrustee, key employee, or highest compensated employee","on line 1a? If ""Yes,"" complete Schedu/leorsuch IndIVIdua/ . . . . . . . . . . . . . . 3 Yes","4 For any indiVidual listed on line 1a, iS the sum of reportable compensation and other compensation from the",list
"on line 1a? If ""Yes,"" complete Schedu/leorsuch IndIVIdua/ . . . . . . . . . . . . . . 3 Yes","4 For any indiVidual listed on line 1a, iS the sum of reportable compensation and other compensation from the","organization and related organizations greaterthan $150,000? If ""Yes,"" complete Schedu/leorsuch",on
"4 For any indiVidual listed on line 1a, iS the sum of reportable compensation and other compensation from the","organization and related organizations greaterthan $150,000? If ""Yes,"" complete Schedu/leorsuch",Ind/Vldua/...........................4Yes,on
LEE C BOLLINGER 60 0,"x x 4,225,069 0 416,351",PRESIDENT,lee
KENNETH A FORDE MD 3 0,"x 789,000 0 2,592",TRUSTEE,kenneth
ROLANDO T ACOSTA 3 0,X 0 0 0,TRUSTEE,rolando
ARMEN A AVANESSIANS 3 0,X 0 0 0,TRUSTEE,armen
WILLIAM V CAMPBELL 3 0,X 0 0 0,TRUSTEE,william
LISA CARNOY 3 0,X 0 0 0,TRUSTEE,lisa
NOAM GOTTESMAN 3 0,X 0 0 0,TRUSTEE,gottesman
JOSEPH A GREENAWAY JR 3 0,X 0 0 0,TRUSTEE,joseph
JAMES HARDEN 3 0,X 0 0 0,TRUSTEE,james
BENJAMIN HOROWITZ 3 0,X 0 0 0,TRUSTEE,benjamin
ANN F KAPLAN 3 0,X 0 0 0,TRUSTEE,ann
MARK E KINGDON 3 0,X 0 0 0,TRUSTEE,mark
JONATHAN LAVINE 3 0,X 0 0 0,TRUSTEE,jonathan
GERRY LENFEST 3 0,X 0 0 0,TRUSTEE (THROUGH 9/1/2013),gerry
CHARLES LI 3 0,X 0 0 0,TRUSTEE,charles
PHILIP MILSTEIN 3 0,X 0 0 0,TRUSTEE (THROUGH 9/1/2013),philip
VIKRAM PANDIT 3 0,X 0 0 0,TRUSTEE,pandit
MICHAEL B ROTHFELD 3 0,X 0 0 0,TRUSTEE,michael
JONATHAN D SCHILLER 3 0,X 0 0 0,TRUSTEE,jonathan
ESTA STECHER 3 0,X 0 0 0,TRUSTEE,esta
FAYE WA'I'I'LETON 3 0,X 0 0 0,TRUSTEE,faye
CLAIRE SHIPMAN 3 0,X 0 0 0,TRUSTEE (AS OF 10/1/2013),claire
ANDREW BARTH 3 0,X 0 0 0,TRUSTEE (AS OF 10/12/2013),andrew
JANE E BOOTH 60 0,"X 581,403 0 42,073",GENERAL COUNSEL,jane
JOHN COATSWORTH 60 0,"X 695,582 0 47,857",PROVOST,john
JEROME DAVIS 60 0,"X 344,776 0 40,309",SECRETARY,jerome
ROBERT KASDIN 60 0,"X 766,722 0 49,609",SENIOR EXECUTIVE VP,robert
DAVID MADIGAN 60 0,"X 356,287 0 96,777",EXEC VP — ARTS & SCIENCES,david
ANNE R SULLIVAN 60 0,"X 541,544 0 70,263",EXECUTIVE VP FOR FINANCE,anne
DR LEE GOLDMAN MD 60 0,"x 1,190,228 0 489,981",EXEC VP FOR HEALTH SCIENCES,lee
PETER HOLLAND 60 0,"x 3,140,134 0 2,283,369",EXEC VP OF INVESTMENT MGMT,peter
JOSEPH A IENUSO 60 0,"X 442,093 0 51,984",EXEC VP OF FACILITIES,joseph
FREDERICK M VAN SICKLE 60 0,"X 533,744 0 62,073",EXEC VP — UNIV DEV & ALUM REL,frederick
DAVID N SILVERS 60 0,"x 4,827,983 0 46,639",CLINICAL PROFESSOR,david
JEFFREY W MOSES 60 0,"x 3,083,272 0 66,595",PROFESSOR OF MEDICINE,jeffrey
CRAIG R SMITH 60 0,"x 2,125,576 0 58,591",PROFESSOR OF SURGERY,craig
MARTIN B LEON 60 0,"x 1,733,272 0 64,530",PROFESSOR OF SURGERY,martin
GREGG STONE 60 0,"x 1,733,272 0 75,352",PROFESSOR OF SURGERY,gregg
ALAN BRINKLEY 0 0,"X 430,187 0 60,843",PROVOST (FORMER),alan
SUSAN K FEAGIN 0 0,"X 459,036 0 36,861",EXEC VP—UNIV DEV&ALUM(FORMER),susan
NICHOLAS B DIRKS 0 0,"x 1,245,745 0 49,544",EXEC VP— ARTS&SCIENCES(FORMER),nicholas
