line1,line2,line3
ANNE T BASS 4 00,X 0 0 0,TRUSTEE 0 00
JACK O BOVENDER JR 6 00,X 0 0 0,TRUSTEE 2 00
RICHARD H BRODHEAD 50 00,"x x 1,093,650 0 194,315",TRUSTEE/PRESIDENT 12 00
GREGORY MALIK BURNETT 2 00,X 0 0 0,TRUSTEE 0 00
PAULA CROWN 2 00,X 0 0 0,TRUSTEE 0 00
KAVEH DANESH 2 00,X 0 0 0,TRUSTEE 0 00
ALLYSON K DUNCAN 2 00,"X 4,500 0 0",TRUSTEE 0 00
RALPH EADS 2 00,X 0 0 0,TRUSTEE 0 00
FRANK E EMORY JR 4 00,X 0 0 0,TRUSTEE 0 00
PAUL E FARMER 2 00,X 0 0 0,TRUSTEE 0 00
ROBIN A FERRACONE 4 00,X 0 0 0,TRUSTEE 0 00
GAO XIQING 4 20,X 0 0 0,TRUSTEE 0 00
EDWARD A GILHULY 4 00,X 0 0 0,TRUSTEE 3 00
THOMAS M GORRIE 4 00,X 0 0 0,TRUSTEE 21 00
GERALD HASSELL 6 00,X 0 0 0,TRUSTEE 0 00
WILLIAM HAWKINS 4 00,X 0 0 0,TRUSTEE 2 00
JANET HILL 3 00,X 0 0 0,TRUSTEE 0 00
BETSY D HOLDEN 2 00,X 0 0 0,TRUSTEE 0 00
JEFFREY C HOWARD 6 00,X 0 0 0,TRUSTEE 6 00
PETER J KAHN 2 00,X 0 0 0,TRUSTEE 0 00
BRUCE KARSH 4 00,X 0 0 0,TRUSTEE 2 00
ELIZABETH KISS 2 00,X 0 0 0,TRUSTEE 0 00
MARGUERITE W KONDRACKE 2 00,X 0 0 0,TRUSTEE 0 00
MICHAEL MARSICANO 6 00,X 0 0 0,TRUSTEE 1 00
MARTHA MONSERRATE 2 00,X 0 0 0,TRUSTEE 3 00
CLARENCE G NEWSOME 2 00,X 0 0 0,TRUSTEE 0 00
STEPHEN G PAGLIUCA 10,X 0 0 0,TRUSTEE 0 00
ROBERT R PENN 2 00,X 0 0 0,TRUSTEE 0 00
CARMICHAEL ROBERTS 2 00,X 0 0 0,TRUSTEE 0 00
DAVID M RUBENSTEIN 6 00,X 0 0 0,TRUSTEE 2 00
ALAN D SCHWARTZ 5 00,X 0 0 0,TRUSTEE 0 00
MICHELLE SOHN 2 00,X 0 0 0,TRUSTEE 0 00
LAURENE M SPERLING 4 00,X 0 0 0,TRUSTEE 0 00
SUSAN M STALNECKER 6 00,X 0 0 0,TRUSTEE 2 00
ASHLEY CROWDER STANLEY 2 00,X 0 0 0,TRUSTEE 0 00
JEFFERY N VINIK 1 30,X 0 0 0,TRUSTEE 0 00
HOPE MORGAN WARD 2 00,X 0 0 0,TRUSTEE 0 00
PAMELAJ BERNARD 35 00,"X 471,060 0 72,428",VP & UNIVERSITY COUNSEL 16 00
PETER LANGE 65 00,"x 599,341 26,000 38,503",PROVOST 5 00
RICHARD RIDDELL 60 00,"X 325,692 0 44,815",VP & UNIVERSITY SECRETARY 0 00
TALLMAN TRASK III 60 00,"X 620,774 0 74,294",EXECUTIVE VICE PRESIDENT 20 00
NANCY CATHERINE ANDREWS 40 00,"X 742,900 0 82,236",VICE CHAN OF ACADEMIC AFFAIRS 5 00
WILLIAM BOULDING 75 00,"X 497,265 0 45,667","DEAN, FUQUA SCHOOL OF BUSINESS 2 00"
ROBERT M CALIFF MD 40 00,"X 513,548 0 46,600",VICE CHAN FOR CLINICAL RESEARCH 1 00
JAM ES SCOTI' GIBSON 60 00,"X 553,885 0 52,947","EXEC VICE DEAN OF ADMIN, SOM 2 00"
JOHN J NOONAN 50 00,"X 296,003 0 85,274",ASSOCIATE VP OF FACILITIES 0 00
ERIC PETERSON 80 00,"X 437,989 0 61,002","DIRECTOR, DCRI 10 00"
JAMES S ROBERTS 38 00,"X 333,284 0 38,503",EXEC VICE—PROVOST FIN & ADMIN 2 00
DAVID N CUTCLIFFE 40 00,"x 1,992,685 0 50,919",COACH 0 00
MICHAEL B KASTAN 40 00,"X 903,712 0 43,999","EXEC DIRECTOR, CANCER INSTITUTE 0 00"
MICHAELW KRZYZEWSKI 40 00,"x 6,020,977 0 1,271,449",COACH 0 00
JOANNE MCCALLIE 40 00,"X 943,268 0 52,476",COACH 0 00
KEVIN M WHITE 40 00,"X 896,100 0 51,054",VP & DIRECTOR OF ATHLETICS 0 00
