line1,line2,line3,key
TRISH FITZGIBBONS ANDERSON 2 00,X X 0 0 0,TRUSTEE & VICE CHAIR 0 00,
ROBERT AUSTIN 1 00,X 0 0 0,TRUSTEE 0 00,
DAVID BRAMAN 2 00,X 0 0 0,TRUSTEE 0 00,
LAURA FERGUSON 1 00,X 0 0 0,TRUSTEE 0 00,
SHELLEY FLOYD 1 00,X 0 0 0,TRUSTEE 0 00,
HAROLD FUSON JR 1 00,X 0 0 0,TRUSTEE 0 00,
ATUL GUPTA 1 00,"X 4,000 0 0",TRUSTEE 0 00,
I CRAIG HENDERSON 2 00,X 0 0 0,TRUSTEE 0 00,
STEVE HOLTZE 1 00,X 0 0 0,TRUSTEE 0 00,
KIHWAN KIM 1 00,X 0 0 0,TRUSTEE 0 00,
CLINTON KORVER 2 00,X X 0 0 0,TRUSTEE & CHAIR 0 00,
SYLVIA KWAN 2 00,X 0 0 0,TRUSTEE 0 00,
TOBI KLEIN MARCUS 0 00,X 0 0 0,TRUSTEE 0 00,
PAUL MCCULLEY 1 00,X 0 0 0,TRUSTEE 0 00,
SUSAN HOLDEN MCCURRY 1 00,X 0 0 0,TRUSTEE 0 00,
GEORGE MOOSE 0 00,X 0 0 0,TRUSTEE 0 00,
PAUL RISSER 2 00,X X 0 0 0,TRUSTEE & VICE CHAIR 0 00,
KAREN SHAFF 2 00,X 0 0 0,TRUSTEE 0 00,
M ANNE SPENCE 2 00,X 0 0 0,TRUSTEE 0 00,
JOEL SPIEGEL 2 00,X 0 0 0,TRUSTEE 0 00,
BARRETT THOMAS 2 00,X 0 0 0,TRUSTEE 0 00,
MATTHEW WELCH 1 00,X 0 0 0,TRUSTEE 0 00,
ERIC WHITAKER 1 00,X 0 0 0,TRUSTEE 0 00,
DAVID WHITE 0 00,X 0 0 0,TRUSTEE 0 00,
CONNIE WIMER 0 00,X 0 0 0,TRUSTEE 0 00,
HENRY WINGATE 1 00,X 0 0 0,TRUSTEE 0 00,
NORDAHL BRUE 1 00,X 0 0 0,LIFE TRUSTEE 0 00,
JOHN EGAN 1 00,X 0 0 0,LIFE TRUSTEE 0 00,
PATRICIA FINKELMAN 2 00,X 0 0 0,LIFE TRUSTEE 0 00,
TODD LINDEN 1 00,X 0 0 0,LIFE TRUSTEE 0 00,
ROBERT MUSSER 1 00,X 0 0 0,LIFE TRUSTEE 0 00,
GREG NARBER 1 00,X 0 0 0,LIFE TRUSTEE 0 00,
JOHN PRICE 2 00,X 0 0 0,LIFE TRUSTEE 0 00,
RONALD SANDLER 1 00,X 0 0 0,LIFE TRUSTEE 0 00,
DONALD STEWART 1 00,X 0 0 0,LIFE TRUSTEE 0 00,
RAYNARD KINGTON 60 00,"X 570,950 0 80,618",PRESIDENT 0 00,
DAVID CLAY 60 00,"X 601,484 0 42,861",CHIEF INVESTMENT OFFICER 0 00,
SCOTT WILSON 60 00,"X 284,788 0 45,429",CHIEF INVESTMENT OFFICER 0 00,
KAREN VOSS 60 00,"X 264,944 0 43,293",TREASURER 0 00,
KATE WALKER 60 00,"x 41,565 0 6,251",TREASURER 0 00,
SUSAN SCHOEN 50 00,"x 94,971 0 25,319",SECRETARY 0 00,
JOSEPH BAGNOLI 50 00,"X 203,979 0 34,770",VP ENROLLMENT 0 00,
HOUSTON DOUGHARTY 50 00,"X 153,125 0 73,074",VP STUDENT AFFAIRS 0 00,
ELIZABETH HALLORAN 50 00,"X 286,292 0 33,720",VP DEVELOPMENT & ALUMNI RELATIONS 0 00,
JOHN KALKBRENNER 50 00,"X 183,610 0 77,044",VP COLLEGE SERVICES 0 00,
DAVID LOPA'I'I'O 50 00,"X 163,380 0 58,039",INTERIM DEAN OF THE COLLEGE 0 00,
JAMES REISCHE 50 00,"X 150,337 0 35,098",VP COMMUNICATIONS 0 00,
ANGELA VOOS 50 00,"X 173,497 0 20,160",VP STRATEGIC PLANNING & CHIEF OF STAFF 0 00,
JAMES HOWARD 50 00,"X 150,641 0 29,686",DIRECTOR OF PRINCIPAL GIFTS 0 00,
JOHN MUTI'I 50 00,"X 174,358 0 34,829",PROFESSOR OF ECONOMICS 0 00,
