line1,line2,line3,key
organizations g E 3» go and related,below E g E E 253:7 g organizations,line) 2 E g 5 ES 55':,go
(1) Michael Andry 1 . 00,Chair X X 0 . 0 . 0 .,(2) Short Norris 1 . 00,michael
(2) Short Norris 1 . 00,Director X 0 n 0 a 0 .,(3) Pat: Carver 1 . 00,short
(3) Pat: Carver 1 . 00,Director x 0 u 0 . 0 .,(4) Michael Greene 1 . 00,carver
(4) Michael Greene 1 . 00,Director X 0 . 0 . 0 .,(5) Kevin Watson 1 u 00,michael
(5) Kevin Watson 1 u 00,Director X 0 . O . 0 .,(6) John Wirtz 1.00,kevin
(6) John Wirtz 1.00,Director x 0 . 0 . 0 .,(7) Brad Blackburn 1 . 00,john
(7) Brad Blackburn 1 . 00,"Director X i 7 0 - , 401., 0-.",———(‘8 l—DeTek—Al‘i en -‘1’.0'0'- #,brad
(9) Mitchell Watson 1 o 00,Director X 0 o 0 . 0 e,(10) Marilyn Foote—Hudeon 1 . 00,mitchell
(10) Marilyn Foote—Hudeon 1 . 00,Director X 0 u 0 o 0 .,(11) Kerry Friedman 1 . 00,marilyn
(11) Kerry Friedman 1 . 00,Director X 0 u 0 . 0 .,(12) Brian Gompers 1 . 00,kerry
(12) Brian Gompers 1 . 00,Director X 0 . 0 o 0 .,(13) Jacqueline D. Grant 1 . 00,brian
(13) Jacqueline D. Grant 1 . 00,Director X 0 a 0 a 0 .,(14) Steven Green 1 . 00,jacqueline
(14) Steven Green 1 . 00,Director X 0 . 0 o 0 e,(15) Bruce Greene 1 o 00,steven
(15) Bruce Greene 1 o 00,Director X 0 o 0 . 0 .,(16) Oscar Wong 1 . 00,bruce
(16) Oscar Wong 1 . 00,Vice Chair X X 0 . 0 . 0 .,(17) AnnYoung 1.00,oscar
