line1,line2,line3,key
"c Total from continuation sheets to Part VII, Section A F""","Total (add lines 1b and 1c) I"" 6341,280 1,153,896",2 Total number of IndiViduaIS (Including but not limited to those listed above) who received more than,sheets
"Total (add lines 1b and 1c) I"" 6341,280 1,153,896",2 Total number of IndiViduaIS (Including but not limited to those listed above) who received more than,"$100,000 of reportable compensation from the organizationhI-521",lines
2 Total number of IndiViduaIS (Including but not limited to those listed above) who received more than,"$100,000 of reportable compensation from the organizationhI-521",Yes No,number
"3 Did the organization list any former officer, director ortrustee, key employee, or highest compensated employee","on line 1a? If ""Yes,"" complete Schedu/leorsuch Ind/Vidua/ . . . . . . . . . . . . . . 3 Yes","4 For any IndiVidual listed on line 1a, IS the sum of reportable compensation and other compensation from the",list
"on line 1a? If ""Yes,"" complete Schedu/leorsuch Ind/Vidua/ . . . . . . . . . . . . . . 3 Yes","4 For any IndiVidual listed on line 1a, IS the sum of reportable compensation and other compensation from the","organization and related organizations greaterthan $150,000? If ""Yes,"" complete Schedu/leorsuch",on
"4 For any IndiVidual listed on line 1a, IS the sum of reportable compensation and other compensation from the","organization and related organizations greaterthan $150,000? If ""Yes,"" complete Schedu/leorsuch",Ind/Vldua/...........................4Yes,on
Patrick Arbor 1 0,X,Trustee (re5igned Nov 2013) 0 0,patrick
Robert M Beavers Jr 1 0,X,Trustee 0 0,robert
James P Bouchard 1 0,X,Trustee 0 0,james
William A Brandt Jr 1 0,X,Trustee 0 0,william
Michael] Carbon 1 0,X,Trustee (re5ig ned June 2014) 0 0,carbon
Ronald E Daly 1 0,X,Trustee (re5ig ned June 2014) 0 0,ronald
Charles W Denny 1 0,X,Trustee 0 0,charles
Melanie C Dreher 1 0,X,Trustee 0 0,melanie
Mary Judith Duchossms 1 0,X,Trustee 0 0,mary
Paul] Fitzgerald SJ 1 0,X,Trustee 0 0,fitzgerald
Michael J Garanzmi SJ 40 0,X X 0 0,"PreSIdent & CEO, Trustee 0 0",michael
Thomas P Greene SJ 1 0,X,Trustee 0 0,thomas
Joth Hartman 1 0,X,Trustee 0 0,hartman
Marvm Herman 1 0,X,Trustee 0 0,herman
Patrick J Kelly 1 0,X,Trustee 0 0,patrick
William G Kistner 1 0,X,Trustee 0 0,william
William C Kunkler III 1 0,X,Trustee 0 0,william
Patrick C Lynch 1 0,X,Trustee 0 0,patrick
Barry C McCabe 1 0,X,Trustee 0 0,barry
Patrick McGrath SJ 1 0,X,Trustee 0 0,patrick
Carlos Montoya 1 0,X,Trustee 0 0,carlos
Allan J NorVIIIe 1 0,X,Trustee 0 0,allan
Robert L Parkinson Jr 1 0,X,"Chairman of the Board, Trustee 0 0",robert
